0,1,2,3,4,5,6,7,8,9
77,14,39,27,65,86,61,63,89,15
76,14,39,27,61,88,59,79,89,15
78,94,39,27,65,89,61,57,93,94
69,87,90,84,55,87,53,51,77,80
67,91,73,61,53,91,51,49,89,91
69,88,71,59,53,83,51,39,77,88
77,89,38,26,67,96,60,52,82,89
75,96,39,27,61,88,61,58,86,96
74,90,37,26,58,90,56,48,88,90
85,23,41,29,74,74,67,58,18,23
74,14,39,27,64,66,60,60,89,94
79,14,39,27,68,69,62,77,95,14
72,64,74,62,63,90,54,82,60,66
76,92,39,27,62,88,60,78,92,92
78,95,38,26,69,90,61,55,88,95
79,11,41,79,71,67,66,76,52,12
76,88,39,27,61,58,60,59,71,87
78,92,39,27,69,96,60,56,93,93
84,93,40,28,73,72,64,60,89,94
79,92,39,27,63,95,61,62,85,92
82,17,37,26,72,70,68,90,14,17
81,15,38,26,76,76,71,81,16,16
90,17,43,31,79,80,74,84,21,20
79,88,40,28,66,69,61,62,73,88
83,17,42,29,73,73,65,69,17,17
75,95,40,28,61,88,60,57,87,91
83,17,41,29,73,75,68,75,17,17
90,20,44,32,86,82,77,83,64,21
77,90,38,26,61,96,61,66,87,90
68,86,90,84,56,51,53,68,76,78
87,20,43,31,80,80,71,83,60,20
74,14,39,27,65,68,61,76,93,90
81,46,37,87,72,71,62,77,56,47
76,7,37,85,63,63,56,63,85,8
86,19,42,30,76,78,73,79,19,19
76,90,38,26,68,90,58,51,94,91
85,17,42,30,76,77,71,84,18,18
87,25,40,28,78,79,72,14,20,25
76,94,38,26,63,86,59,53,87,91
91,25,42,30,80,77,75,67,95,26
75,16,41,95,69,70,64,75,94,16
67,47,91,86,54,64,54,70,47,49
70,93,72,26,61,90,52,41,57,93
86,19,43,31,76,75,70,95,20,19
74,84,37,26,66,91,57,49,82,84
79,16,39,27,63,85,61,76,94,16
90,22,43,31,79,79,74,84,19,21
72,79,84,79,54,96,54,58,71,80
75,93,39,27,61,88,60,59,86,93
89,19,44,32,79,78,75,83,20,20
77,88,38,26,62,88,60,54,84,88
90,16,41,29,80,78,74,83,18,18
78,92,38,26,68,69,61,55,88,93
73,88,90,85,57,62,54,55,80,88
81,18,42,30,76,75,73,75,19,18
76,87,39,27,62,86,61,59,84,87
75,92,40,28,65,68,61,59,17,93
75,90,39,27,62,96,61,62,87,90
75,18,40,28,72,72,66,75,95,17
69,93,74,62,54,86,52,52,86,93
80,94,40,28,65,87,62,60,89,94
75,14,38,26,66,69,61,75,92,15
80,18,38,26,71,71,61,65,82,88
78,17,38,84,68,96,61,68,14,16
80,88,40,28,67,68,61,57,82,87
76,94,38,26,68,96,60,56,87,94
88,20,42,30,79,78,68,85,18,20
96,30,46,33,87,86,80,80,23,30
76,96,39,27,65,69,61,75,95,95
78,87,40,28,64,68,61,60,84,87
78,18,38,26,69,69,60,59,90,93
78,92,39,27,63,86,61,57,89,93
74,90,40,28,62,88,61,60,88,90
85,22,42,30,77,78,72,81,19,19
70,7,75,69,61,61,52,53,85,8
75,17,37,26,69,68,58,78,92,92
80,14,41,77,68,68,64,55,90,15
80,94,39,27,64,86,61,49,84,94
72,38,96,96,63,63,55,82,42,38
76,89,40,28,64,88,61,60,71,89
77,95,40,27,63,86,61,49,15,95
69,11,91,87,62,83,54,46,88,10
88,19,38,26,81,78,75,69,74,19
77,93,39,27,63,96,61,62,90,93
76,92,39,27,61,89,60,55,90,92
88,22,40,29,76,75,74,14,76,23
78,93,40,28,63,88,61,57,92,95
88,15,41,29,73,72,69,70,56,16
75,17,39,27,68,96,58,51,77,17
72,79,86,80,54,96,52,58,73,84
74,92,40,94,63,60,61,78,89,92
85,19,43,31,77,76,70,85,20,20
78,94,39,27,66,88,61,49,87,94
77,18,38,26,68,92,61,57,88,93
75,94,39,27,62,86,60,58,83,95
73,14,39,27,68,69,61,76,93,15
76,15,38,27,70,70,60,79,14,13
86,17,42,30,74,73,67,74,18,17
78,88,39,27,65,69,60,62,85,88
74,93,39,28,63,85,60,61,85,94
76,95,39,27,64,87,61,59,88,95
75,89,39,27,62,86,60,77,89,89
85,18,41,29,78,79,73,81,18,18
78,93,38,26,70,69,60,57,88,93
86,56,40,28,80,79,74,14,77,57
78,15,40,28,65,87,61,63,88,92
79,16,40,28,74,75,69,79,17,16
76,15,38,26,69,96,59,57,13,90
77,91,38,26,62,88,60,55,88,91
90,23,44,32,80,80,73,84,21,22
70,92,79,69,57,90,54,45,77,92
71,7,89,82,58,62,53,68,86,84
70,40,95,96,63,56,61,53,93,41
89,15,41,29,79,79,73,80,64,16
67,26,46,30,96,95,93,92,22,40
86,21,40,28,79,74,68,88,17,22
76,93,38,26,64,65,59,77,87,94
77,12,38,26,68,68,60,77,13,12
70,94,96,89,60,61,53,74,92,91
73,87,90,83,60,77,54,52,63,87
60,94,60,48,90,92,42,34,93,95
75,90,39,27,60,96,60,57,87,90
74,14,39,92,63,67,60,77,95,15
74,93,39,27,65,95,61,59,90,94
64,81,90,60,53,78,52,70,55,81
66,83,90,84,56,80,53,52,83,86
87,18,43,30,78,76,70,73,56,18
77,15,39,27,71,71,61,77,14,16
73,84,83,75,55,96,54,57,69,76
78,93,39,27,65,67,61,77,90,96
78,93,39,27,69,70,61,78,92,95
74,91,40,92,61,86,60,59,87,95
91,26,43,31,81,81,73,85,20,26
73,89,79,27,63,89,55,45,65,89
75,8,89,83,63,64,55,70,80,9
84,18,42,29,72,74,68,87,17,17
75,14,38,92,64,65,59,77,93,15
76,15,38,26,69,69,60,78,90,95
62,93,60,48,54,94,43,34,71,95
89,22,41,29,80,79,71,78,19,22
77,96,39,27,64,86,62,58,88,90
70,8,37,68,63,63,61,52,64,8
71,95,96,91,62,86,55,50,90,90
77,94,38,26,64,96,60,57,91,94
74,92,40,93,62,87,60,77,89,92
75,90,39,28,62,87,59,79,90,90
75,95,39,27,61,86,59,78,89,95
82,14,39,27,75,76,69,81,16,15
78,18,39,27,71,96,61,58,14,94
67,80,91,64,54,90,53,52,74,80
81,93,39,27,64,68,62,50,84,93
61,90,62,51,53,77,43,34,52,90
87,21,44,32,78,78,72,91,21,22
89,21,44,31,80,80,72,93,21,21
68,83,90,86,59,59,51,42,83,83
76,96,40,28,63,88,61,49,89,96
78,92,40,28,64,96,61,58,86,89
90,24,43,31,83,79,76,81,21,18
73,37,90,84,61,62,55,58,85,39
90,26,45,33,79,80,73,83,21,26
61,46,60,48,88,71,43,82,43,46
77,95,39,92,63,59,60,61,87,95
76,90,39,91,61,57,60,75,86,90
85,86,39,28,72,72,70,64,84,86
96,28,46,34,86,85,81,96,24,29
89,22,44,32,79,78,77,96,22,23
75,94,39,92,63,88,60,61,89,94
75,14,39,27,67,69,60,78,91,15
77,87,39,27,61,60,59,49,81,86
77,16,39,27,62,95,60,60,87,92
77,92,40,28,65,87,62,50,85,87
78,95,39,27,64,85,60,58,88,95
76,89,37,26,65,92,58,54,93,90
77,87,38,26,63,85,60,51,81,87
80,94,39,27,67,69,61,77,92,94
81,90,40,28,72,71,62,76,89,90
76,90,38,26,68,95,60,53,88,90
87,16,41,29,73,73,66,70,17,16
75,94,39,27,63,87,61,61,92,94
76,92,39,27,63,62,61,61,86,92
78,92,40,28,64,88,61,57,86,92
83,17,41,29,73,72,65,89,17,16
71,10,91,86,63,62,53,72,42,8
77,95,40,28,64,86,61,78,93,96
93,29,44,32,86,84,79,83,26,28
82,17,41,28,73,72,63,64,17,16
81,91,96,93,64,65,62,71,85,92
87,20,44,31,79,79,72,76,20,19
81,20,39,27,71,71,63,77,15,20
75,94,39,27,64,68,61,77,93,94
75,17,37,26,68,89,57,54,93,92
61,48,61,47,84,76,43,33,42,48
93,23,44,32,84,83,75,80,20,23
77,91,40,28,62,60,61,63,84,92
85,17,41,29,76,75,73,81,18,18
78,92,39,27,63,85,60,55,84,92
77,89,38,26,62,85,60,58,83,88
94,27,45,33,86,85,78,84,23,27
69,91,96,88,56,84,53,52,84,91
87,18,39,27,70,71,67,74,15,94
