0,1,2,3,4,5,6,7,8,9
24,7,2,1,22,51,30,54,80,7
23,7,2,1,18,53,28,70,80,7
25,87,2,1,22,54,30,48,84,86
16,80,53,58,12,52,22,42,68,72
14,84,36,35,10,56,20,40,80,83
16,81,34,33,10,48,20,30,68,80
24,82,1,0,24,61,29,43,73,81
22,89,2,1,18,53,30,49,77,88
21,83,0,0,15,55,25,39,79,82
32,16,4,3,31,39,36,49,9,15
21,7,2,1,21,31,29,51,80,86
26,7,2,1,25,34,31,68,86,6
19,57,37,36,20,55,23,73,51,58
23,85,2,1,19,53,29,69,83,84
25,88,1,0,26,55,30,46,79,87
26,4,4,53,28,32,35,67,43,4
23,81,2,1,18,23,29,50,62,79
25,85,2,1,26,61,29,47,84,85
31,86,3,2,30,37,33,51,80,86
26,85,2,1,20,60,30,53,76,84
29,10,0,0,29,35,37,81,5,9
28,8,1,0,33,41,40,72,7,8
37,10,6,5,36,45,43,75,12,12
26,81,3,2,23,34,30,53,64,80
30,10,5,3,30,38,34,60,8,9
22,88,3,2,18,53,29,48,78,83
30,10,4,3,30,40,37,66,8,9
37,13,7,6,43,47,46,74,55,13
24,83,1,0,18,61,30,57,78,82
15,79,53,58,13,16,22,59,67,70
34,13,6,5,37,45,40,74,51,12
21,7,2,1,22,33,30,67,84,82
28,39,0,61,29,36,31,68,47,39
23,0,0,59,20,28,25,54,76,0
33,12,5,4,33,43,42,70,10,11
23,83,1,0,25,55,27,42,85,83
32,10,5,4,33,42,40,75,9,10
34,18,3,2,35,44,41,5,11,17
23,87,1,0,20,51,28,44,78,83
38,18,5,4,37,42,44,58,86,18
22,9,4,69,26,35,33,66,85,8
14,40,54,60,11,29,23,61,38,41
17,86,35,0,18,55,21,32,48,85
33,12,6,5,33,40,39,86,11,11
21,77,0,0,23,56,26,40,73,76
26,9,2,1,20,50,30,67,85,8
37,15,6,5,36,44,43,75,10,13
19,72,47,53,11,61,23,49,62,72
22,86,2,1,18,53,29,50,77,85
36,12,7,6,36,43,44,74,11,12
24,81,1,0,19,53,29,45,75,80
37,9,4,3,37,43,43,74,9,10
25,85,1,0,25,34,30,46,79,85
20,81,53,59,14,27,23,46,71,80
28,11,5,4,33,40,42,66,10,10
23,80,2,1,19,51,30,50,75,79
22,85,3,2,22,33,30,50,8,85
22,83,2,1,19,61,30,53,78,82
22,11,3,2,29,37,35,66,86,9
