0,1,2,3,4,5,6,7,8,9
58,95,72,95,95,96,95,95,96,95
59,80,78,95,95,96,95,95,96,95
58,94,91,96,95,95,95,95,96,95
22,25,22,96,95,95,95,95,92,95
59,96,92,95,95,96,95,95,95,95
48,48,38,95,95,95,95,95,93,95
74,96,93,95,95,95,95,95,95,95
94,96,93,95,95,96,95,95,95,95
75,80,67,96,96,96,96,96,96,96
86,96,93,95,95,95,95,95,96,95
55,70,85,95,95,95,95,95,94,95
59,67,80,95,95,96,95,95,96,95
73,86,25,96,96,96,96,96,96,96
73,69,20,96,96,96,96,96,96,96
72,24,16,96,96,96,96,96,96,96
57,96,92,95,95,96,95,95,95,95
53,83,80,95,95,95,95,95,93,95
88,31,27,96,96,96,96,96,96,96
67,96,96,95,95,95,95,95,96,95
50,73,71,95,95,95,95,95,95,95
96,67,19,96,96,96,96,96,96,96
58,76,82,95,95,95,95,95,95,95
54,88,85,95,95,95,95,95,92,95
80,75,65,96,96,96,96,96,96,96
71,80,18,96,96,96,96,96,96,96
20,25,22,95,95,95,95,95,94,95
59,85,81,95,95,96,95,95,96,95
69,28,19,96,96,96,96,96,96,96
58,66,65,95,95,95,95,95,95,95
68,27,26,96,96,96,96,96,96,96
67,64,18,96,96,96,96,96,96,96
60,66,51,95,95,96,96,95,96,95
82,61,50,96,96,95,96,96,92,96
86,54,10,95,95,95,95,95,92,95
57,74,81,95,95,95,95,95,95,95
69,27,19,96,96,96,96,96,96,96
67,91,87,96,95,95,95,95,92,95
94,29,21,96,96,96,96,96,96,96
61,96,82,95,96,96,96,96,96,96
60,70,79,95,95,96,95,95,96,95
68,96,92,95,95,96,95,95,96,95
87,96,92,95,95,96,95,95,96,95
80,71,60,96,96,96,96,96,96,96
96,27,19,96,96,96,96,96,96,96
58,68,81,95,95,96,95,95,96,95
57,76,73,95,95,96,95,95,96,95
57,74,80,95,95,96,95,95,96,95
82,90,12,95,95,95,95,95,92,95
60,96,91,95,95,95,95,95,96,95
73,79,67,96,96,96,96,96,92,96
62,96,94,96,95,95,95,95,96,95
77,27,19,96,96,96,96,96,96,96
63,83,77,95,95,95,95,95,96,95
63,88,79,95,95,95,95,95,92,95
60,86,77,95,95,95,95,95,92,95
93,30,23,96,96,96,96,96,96,96
59,95,71,95,95,96,95,95,96,95
60,67,54,95,96,96,95,95,96,95
96,96,21,95,95,95,95,95,95,95
96,26,18,96,96,96,96,96,96,96
59,96,95,95,95,96,95,95,96,95
63,29,20,96,96,96,96,96,96,96
59,96,92,95,95,95,95,95,95,95
59,66,64,95,95,96,95,95,96,95
71,75,64,96,96,96,96,96,96,96
49,57,40,95,95,95,95,95,95,95
96,64,56,96,96,96,96,96,96,96
58,95,81,95,95,96,95,95,96,95
59,74,81,95,95,95,95,95,96,95
71,89,42,95,95,95,95,95,92,95
57,65,65,96,95,95,95,95,96,95
63,96,94,95,95,96,95,95,96,95
56,96,93,95,95,95,95,95,94,95
60,96,92,96,95,95,95,95,96,95
57,80,80,96,95,95,95,95,96,95
59,66,63,95,95,95,95,95,95,95
95,73,61,96,96,96,96,96,96,96
52,61,83,95,95,95,95,95,95,95
79,29,21,96,96,96,96,96,96,96
87,66,55,95,96,96,96,96,96,95
54,85,84,95,95,95,95,95,92,95
95,96,16,95,95,96,95,95,95,95
63,71,38,95,95,95,95,95,92,95
94,24,20,95,95,95,95,95,94,95
49,69,76,95,95,95,95,95,92,95
95,96,94,95,95,96,95,95,96,95
72,96,93,95,95,96,95,95,95,95
58,66,82,95,95,95,95,95,96,95
59,96,93,95,95,96,95,95,96,95
85,96,19,96,96,96,96,96,96,96
20,23,13,95,96,96,96,95,92,96
72,96,93,95,95,95,95,95,95,95
59,64,52,95,95,96,95,95,96,95
59,76,71,95,95,96,96,95,96,95
88,96,96,96,96,96,96,96,96,95
95,96,96,95,95,95,95,95,95,95
77,92,94,96,96,96,96,96,96,96
74,25,15,95,95,95,95,95,95,95
57,72,80,95,95,96,95,95,96,95
58,73,81,95,95,96,95,95,96,95
59,73,69,95,95,96,95,95,96,95
57,70,81,95,95,95,95,95,95,95
74,70,19,96,96,96,96,96,96,96
93,96,93,95,95,95,95,95,95,95
76,85,68,95,96,96,96,96,96,95
60,73,73,95,95,96,95,95,96,95
74,25,17,96,96,96,96,96,96,96
71,95,93,95,95,95,95,95,94,95
58,95,81,95,95,95,95,95,96,95
95,73,21,96,96,96,96,96,96,96
50,73,69,95,95,95,95,95,95,95
53,87,86,95,95,95,95,95,92,95
44,33,33,95,96,96,95,95,92,96
96,75,64,95,96,96,96,96,96,96
96,94,87,96,96,96,96,96,96,96
67,26,17,95,96,96,96,96,96,96
72,96,90,95,95,95,95,95,95,95
94,95,14,95,95,95,95,95,94,95
94,95,93,95,95,95,95,95,93,95
52,65,63,95,95,95,95,95,92,95
47,60,95,95,95,95,95,95,93,95
58,96,82,95,95,96,95,95,96,95
72,96,95,95,95,95,95,95,95,95
68,96,90,95,95,96,95,95,96,95
53,89,64,95,95,95,95,95,92,95
51,87,83,95,95,95,95,95,92,95
69,28,20,96,96,96,96,96,96,96
66,66,15,95,95,95,95,95,95,95
53,62,63,95,95,95,95,95,95,95
68,96,89,95,95,95,95,95,95,95
88,96,92,95,95,96,95,95,96,95
58,66,63,95,95,96,95,95,96,95
95,29,20,96,96,96,96,96,96,96
52,67,63,95,95,95,95,95,96,95
80,88,84,95,95,95,95,95,92,95
88,72,59,96,96,96,96,96,96,96
59,96,96,95,95,95,95,95,94,95
87,96,94,95,95,95,95,95,95,95
77,80,96,95,95,95,95,95,93,95
89,69,18,96,96,96,96,96,96,96
59,80,81,95,95,96,95,95,96,95
65,20,10,95,95,95,95,95,92,95
94,96,95,95,95,95,95,95,94,95
65,96,91,95,95,95,95,95,95,95
58,96,70,95,96,96,96,96,96,95
58,96,92,95,95,96,95,95,96,95
57,96,72,95,95,96,95,95,96,95
71,24,16,96,96,96,96,96,96,96
67,96,94,95,95,96,95,95,96,95
55,73,74,95,95,95,95,95,92,95
61,70,80,95,95,96,95,95,96,95
39,60,83,95,95,95,95,95,92,95
79,29,21,96,96,96,96,96,96,96
75,29,21,96,96,96,96,96,96,96
81,88,83,95,95,95,95,95,92,95
58,72,68,95,96,96,96,96,96,95
60,95,73,95,95,96,95,95,96,95
94,75,65,96,96,96,96,96,96,96
86,88,40,95,95,95,95,95,92,95
93,30,22,96,96,96,96,96,96,96
37,52,48,95,95,95,95,95,92,95
59,81,81,95,95,96,95,95,96,95
66,85,81,95,95,96,95,95,95,95
71,85,79,95,96,96,96,96,96,95
93,31,24,96,96,96,96,96,96,96
80,91,65,96,96,96,96,96,96,96
62,96,82,95,95,96,95,95,96,95
95,72,15,95,95,95,95,95,94,95
59,78,67,95,95,96,95,95,96,95
59,81,82,95,95,95,95,95,95,95
59,67,52,95,95,96,95,95,96,95
57,95,71,95,95,96,95,95,96,95
56,96,94,96,95,95,95,95,95,95
58,68,80,95,95,95,95,95,96,95
88,96,92,95,95,96,95,95,96,95
79,96,51,96,96,96,96,96,96,96
69,96,93,95,95,95,95,95,95,95
65,63,17,96,96,96,96,96,96,96
59,96,92,95,95,96,95,95,96,95
60,77,81,95,95,96,95,95,96,95
59,67,81,95,95,96,96,95,96,95
96,26,18,96,96,96,96,96,96,96
87,49,10,95,95,95,95,95,92,95
60,96,93,95,96,96,96,96,96,95
85,92,69,96,96,96,96,96,96,96
96,96,17,95,96,96,96,96,96,96
61,96,88,96,96,96,96,96,96,96
72,29,20,96,96,96,96,96,96,96
95,25,23,95,95,96,95,95,96,95
60,96,91,95,95,96,95,95,95,95
69,96,92,96,95,95,95,95,95,95
43,59,51,95,95,95,95,95,92,95
92,96,74,96,96,96,96,96,96,96
60,68,65,95,95,96,95,95,96,95
76,26,18,96,96,96,96,96,96,96
57,73,80,95,95,95,95,95,96,95
57,66,63,95,95,95,95,95,96,95
