0,1,2,3,4,5,6,7,8,9
41,75,62,0,0,1,0,0,4,0
42,60,68,0,0,1,0,0,4,0
41,74,81,1,0,0,0,0,4,0
5,5,12,1,0,0,0,0,0,0
42,76,82,0,0,1,0,0,3,0
31,28,28,0,0,0,0,0,1,0
57,76,83,0,0,0,0,0,3,0
77,76,83,0,0,1,0,0,3,0
58,60,57,1,1,1,1,1,4,1
69,76,83,0,0,0,0,0,4,0
38,50,75,0,0,0,0,0,2,0
42,47,70,0,0,1,0,0,4,0
56,66,15,1,1,1,1,1,4,1
56,49,10,1,1,1,1,1,4,1
55,4,6,1,1,1,1,1,4,1
40,76,82,0,0,1,0,0,3,0
36,63,70,0,0,0,0,0,1,0
71,11,17,1,1,1,1,1,4,1
50,76,86,0,0,0,0,0,4,0
33,53,61,0,0,0,0,0,3,0
79,47,9,1,1,1,1,1,4,1
41,56,72,0,0,0,0,0,3,0
37,68,75,0,0,0,0,0,0,0
63,55,55,1,1,1,1,1,4,1
54,60,8,1,1,1,1,1,4,1
3,5,12,0,0,0,0,0,2,0
42,65,71,0,0,1,0,0,4,0
52,8,9,1,1,1,1,1,4,1
41,46,55,0,0,0,0,0,3,0
51,7,16,1,1,1,1,1,4,1
50,44,8,1,1,1,1,1,4,1
43,46,41,0,0,1,1,0,4,0
65,41,40,1,1,0,1,1,0,1
69,34,0,0,0,0,0,0,0,0
40,54,71,0,0,0,0,0,3,0
52,7,9,1,1,1,1,1,4,1
50,71,77,1,0,0,0,0,0,0
77,9,11,1,1,1,1,1,4,1
44,76,72,0,1,1,1,1,4,1
43,50,69,0,0,1,0,0,4,0
51,76,82,0,0,1,0,0,4,0
70,76,82,0,0,1,0,0,4,0
63,51,50,1,1,1,1,1,4,1
79,7,9,1,1,1,1,1,4,1
41,48,71,0,0,1,0,0,4,0
40,56,63,0,0,1,0,0,4,0
40,54,70,0,0,1,0,0,4,0
65,70,2,0,0,0,0,0,0,0
43,76,81,0,0,0,0,0,4,0
56,59,57,1,1,1,1,1,0,1
45,76,84,1,0,0,0,0,4,0
60,7,9,1,1,1,1,1,4,1
46,63,67,0,0,0,0,0,4,0
46,68,69,0,0,0,0,0,0,0
43,66,67,0,0,0,0,0,0,0
76,10,13,1,1,1,1,1,4,1
42,75,61,0,0,1,0,0,4,0
43,47,44,0,1,1,0,0,4,0
79,76,11,0,0,0,0,0,3,0
79,6,8,1,1,1,1,1,4,1
42,76,85,0,0,1,0,0,4,0
46,9,10,1,1,1,1,1,4,1
42,76,82,0,0,0,0,0,3,0
42,46,54,0,0,1,0,0,4,0
54,55,54,1,1,1,1,1,4,1
32,37,30,0,0,0,0,0,3,0
79,44,46,1,1,1,1,1,4,1
41,75,71,0,0,1,0,0,4,0
42,54,71,0,0,0,0,0,4,0
