0,1,2,3,4,5,6,7,8,9
47,64,67,61,69,38,5,61,54,64
45,57,65,59,63,37,4,57,55,61
11,74,79,58,70,37,3,59,64,61
12,21,25,23,23,40,54,20,19,19
49,87,94,73,72,36,4,68,80,74
89,45,49,46,47,29,4,44,43,47
51,87,96,83,96,36,4,80,82,94
46,94,96,94,96,36,4,94,96,95
3,75,78,76,74,53,6,73,71,77
77,95,95,94,95,35,10,94,93,95
43,58,65,58,63,29,37,56,56,61
10,59,63,60,58,39,4,59,54,61
15,85,86,84,86,48,94,86,81,85
65,66,70,72,66,47,9,64,63,67
75,72,72,71,68,46,87,66,65,72
45,61,69,63,73,37,5,60,81,63
55,77,82,78,89,29,3,77,55,79
78,27,31,96,75,54,11,96,75,76
46,90,87,75,85,37,5,75,82,76
83,63,67,61,69,30,5,59,52,65
84,68,67,69,64,44,4,69,63,68
9,66,66,60,65,38,4,58,61,61
41,65,66,63,66,30,93,64,73,64
88,74,77,77,73,52,9,74,73,78
92,78,80,80,67,46,7,79,80,80
13,24,24,23,24,34,64,23,22,24
47,70,74,66,72,37,5,66,65,67
57,24,27,24,26,47,90,22,22,25
48,57,63,60,59,37,4,57,54,61
52,25,26,96,25,42,4,96,96,96
58,64,66,69,63,43,78,69,63,64
11,59,63,60,59,39,5,59,57,61
70,88,64,65,60,39,7,64,73,65
76,85,55,87,51,32,67,87,86,87
10,66,67,60,69,36,4,58,57,61
58,23,27,68,65,46,82,66,65,69
42,89,90,90,87,32,94,88,79,91
92,25,28,70,67,48,5,68,67,68
49,74,73,67,74,39,5,66,66,71
47,60,63,61,59,39,5,58,58,60
50,86,95,74,83,37,4,74,80,80
77,96,96,95,96,38,5,93,70,96
89,69,72,71,68,47,8,69,70,72
62,96,63,96,60,41,5,96,96,96
44,56,61,58,58,36,5,56,54,59
45,69,71,62,71,38,5,62,61,63
47,59,66,61,66,38,5,58,54,64
36,88,90,90,90,29,95,90,89,90
11,87,95,73,84,37,4,73,81,74
6,72,79,77,74,34,95,73,70,77
46,88,74,71,86,36,9,69,83,75
91,78,77,78,69,49,6,78,77,79
51,77,75,72,84,33,5,68,94,73
37,75,78,73,75,12,93,71,73,74
41,64,75,67,74,29,94,72,72,71
88,26,29,26,28,50,6,24,66,27
47,69,70,65,69,37,5,65,64,70
49,61,65,62,60,39,5,60,56,61
73,96,96,96,96,33,10,96,96,96
87,96,62,96,58,39,78,96,96,96
49,74,85,76,84,37,5,79,66,77
54,25,29,26,27,44,65,24,23,26
46,94,96,93,96,37,4,72,82,96
48,57,62,59,59,38,5,57,55,60
6,71,75,72,72,52,95,70,69,73
82,47,52,49,49,29,5,49,45,51
68,64,68,65,65,44,76,65,65,66
46,67,71,63,69,37,5,61,59,65
47,64,71,63,66,36,4,63,62,64
70,67,78,71,67,31,94,70,74,68
9,56,62,58,57,37,3,56,54,60
51,73,74,69,73,36,5,69,66,74
41,66,70,63,69,29,5,62,81,67
11,74,75,73,84,37,4,71,83,76
10,65,65,59,67,37,3,57,55,62
46,59,62,59,58,37,4,58,53,60
85,94,81,78,71,49,4,77,78,79
10,52,56,53,52,33,4,52,50,55
66,24,28,96,67,49,9,96,64,68
78,93,66,92,63,42,5,92,82,93
43,80,84,80,84,29,3,78,92,82
71,95,96,95,96,37,76,94,94,96
76,69,69,69,47,27,92,69,79,69
87,20,72,94,51,34,9,94,94,95
38,56,61,53,62,28,94,53,51,56
68,96,96,96,96,38,5,96,95,96
49,93,96,94,95,37,4,94,72,95
10,59,63,60,58,38,4,58,54,61
48,70,72,64,72,38,5,63,65,68
69,95,96,93,96,40,4,94,93,96
48,19,23,21,21,41,88,18,17,22
60,94,96,93,95,36,5,92,92,96
47,59,62,61,59,39,5,59,55,60
11,69,68,65,68,38,5,60,54,66
64,95,96,96,96,40,3,96,92,96
54,94,96,96,96,38,4,96,96,96
51,81,91,81,90,41,6,81,80,82
70,74,74,74,74,36,79,74,73,74
47,59,66,61,68,37,5,60,54,64
47,59,66,61,59,38,5,58,55,61
48,65,71,64,70,37,5,64,63,67
45,57,64,58,56,36,4,55,53,60
73,70,71,74,69,49,89,70,69,70
68,94,96,94,95,35,11,94,94,95
96,75,80,76,76,50,93,75,71,78
48,60,67,62,67,38,5,61,56,65
65,75,75,75,63,45,84,75,74,75
44,95,95,94,94,35,3,94,94,95
9,70,73,64,72,37,3,66,61,67
83,74,74,73,70,49,9,72,71,74
8,57,62,52,56,30,4,50,49,54
68,78,61,58,62,30,92,54,72,59
40,33,38,38,31,11,47,41,41,39
87,71,76,78,73,50,5,79,79,79
12,96,96,96,96,45,5,96,96,96
89,22,67,67,63,43,77,67,61,68
57,86,86,80,85,37,4,79,81,83
83,94,95,94,95,36,3,94,94,95
84,93,95,94,94,29,5,94,94,94
5,61,63,57,63,30,92,54,48,58
35,61,61,66,60,18,25,66,56,60
45,72,74,68,82,36,5,66,64,74
50,95,96,96,96,35,5,96,96,96
49,89,96,74,85,37,5,72,81,75
3,79,64,64,63,18,93,61,74,65
41,63,60,55,63,30,93,55,56,61
59,24,28,64,63,43,8,61,61,64
47,66,66,65,55,37,78,65,65,66
42,52,60,56,62,32,3,55,61,57
48,88,85,74,84,38,4,78,81,82
49,95,96,96,96,37,5,96,95,96
46,59,64,59,58,37,5,58,54,59
86,69,75,71,71,48,9,69,68,72
10,54,59,53,51,31,4,51,49,53
69,56,88,84,52,31,93,56,65,86
77,91,95,91,68,45,6,91,82,91
77,90,95,73,96,36,4,73,80,74
45,95,96,95,95,36,3,94,94,96
66,79,80,80,79,19,26,80,79,81
77,93,96,94,69,47,3,96,68,94
48,68,69,62,70,38,5,62,62,65
63,16,20,66,18,18,91,68,47,67
55,95,96,94,96,31,5,93,95,95
50,75,75,73,87,36,4,73,83,76
47,72,74,71,74,37,5,69,81,72
46,72,73,64,72,36,5,61,82,74
48,70,71,64,72,36,5,63,61,67
75,67,70,72,66,45,85,71,62,67
44,90,95,73,86,37,5,78,82,84
3,61,65,60,63,30,94,58,57,61
49,60,65,61,60,39,4,59,55,62
28,49,54,46,74,20,95,46,45,50
81,26,29,78,67,47,6,65,64,69
93,81,72,80,70,48,9,80,80,81
41,88,88,87,87,26,93,87,86,88
47,61,68,60,67,38,5,59,54,62
46,72,73,65,74,37,5,62,64,66
82,77,77,79,75,51,8,76,75,77
48,87,88,87,87,30,68,87,86,87
83,68,78,71,70,49,6,68,67,72
25,41,46,40,68,19,94,76,85,76
47,71,73,65,68,38,5,63,64,66
45,73,78,78,82,37,5,78,69,76
11,73,78,72,70,47,94,69,68,73
87,28,31,28,30,56,12,26,26,29
68,91,90,93,92,28,9,93,86,89
50,74,74,69,73,37,5,67,66,75
60,95,72,95,95,36,4,95,95,96
50,63,65,62,58,37,4,60,54,63
45,57,62,59,58,38,4,59,55,60
3,60,64,60,60,39,5,58,55,62
45,73,73,65,71,37,5,67,67,73
44,67,75,66,76,35,3,60,59,69
11,58,63,59,58,38,3,58,55,60
68,95,96,95,95,38,48,94,94,96
11,78,84,79,81,39,6,77,80,80
53,94,96,93,96,36,4,92,81,95
67,61,64,64,60,42,76,61,61,62
48,71,72,68,71,37,5,67,80,73
48,64,69,63,66,39,4,61,57,64
11,59,64,60,59,39,5,59,56,61
96,22,96,94,60,41,6,59,57,96
74,87,88,87,46,28,94,87,43,88
47,73,73,69,72,38,6,69,81,74
12,90,91,87,81,55,9,84,87,88
75,96,96,95,95,39,6,95,94,96
