0,1,2,3,4,5,6,7,8,9
44,48,47,44,51,34,2,46,40,46
42,41,45,42,45,33,1,42,41,43
8,58,59,41,52,33,0,44,50,43
9,5,5,6,5,36,51,5,5,1
46,71,74,56,54,32,1,53,66,56
86,29,29,29,29,25,1,29,29,29
48,71,76,66,78,32,1,65,68,76
43,78,76,77,78,32,1,79,82,77
0,59,58,59,56,49,3,58,57,59
74,79,75,77,77,31,7,79,79,77
40,42,45,41,45,25,34,41,42,43
7,43,43,43,40,35,1,44,40,43
12,69,66,67,68,44,91,71,67,67
62,50,50,55,48,43,6,49,49,49
72,56,52,54,50,42,84,51,51,54
42,45,49,46,55,33,2,45,67,45
52,61,62,61,71,25,0,62,41,61
75,11,11,79,57,50,8,81,61,58
43,74,67,58,67,33,2,60,68,58
80,47,47,44,51,26,2,44,38,47
81,52,47,52,46,40,1,54,49,50
6,50,46,43,47,34,1,43,47,43
38,49,46,46,48,26,90,49,59,46
85,58,57,60,55,48,6,59,59,60
89,62,60,63,49,42,4,64,66,62
10,8,4,6,6,30,61,8,8,6
44,54,54,49,54,33,2,51,51,49
54,8,7,7,8,43,87,7,8,7
45,41,43,43,41,33,1,42,40,43
49,9,6,79,7,38,1,81,82,78
55,48,46,52,45,39,75,54,49,46
8,43,43,43,41,35,2,44,43,43
67,72,44,48,42,35,4,49,59,47
73,69,35,70,33,28,64,72,72,69
7,50,47,43,51,32,1,43,43,43
55,7,7,51,47,42,79,51,51,51
39,73,70,73,69,28,91,73,65,73
89,9,8,53,49,44,2,53,53,50
46,58,53,50,56,35,2,51,52,53
44,44,43,44,41,35,2,43,44,42
47,70,75,57,65,33,1,59,66,62
74,80,76,78,78,34,2,78,56,78
86,53,52,54,50,43,5,54,56,54
59,80,43,79,42,37,2,81,82,78
41,40,41,41,40,32,2,41,40,41
42,53,51,45,53,34,2,47,47,45
44,43,46,44,48,34,2,43,40,46
33,72,70,73,72,25,92,75,75,72
8,71,75,56,66,33,1,58,67,56
3,56,59,60,56,30,92,58,56,59
43,72,54,54,68,32,6,54,69,57
88,62,57,61,51,45,3,63,63,61
48,61,55,55,66,29,2,53,80,55
34,59,58,56,57,8,90,56,59,56
38,48,55,50,56,25,91,57,58,53
85,10,9,9,10,46,3,9,52,9
44,53,50,48,51,33,2,50,50,52
46,45,45,45,42,35,2,45,42,43
70,80,76,79,78,29,7,81,82,78
84,80,42,79,40,35,75,81,82,78
46,58,65,59,66,33,2,64,52,59
51,9,9,9,9,40,62,9,9,8
43,78,76,76,78,33,1,57,68,78
45,41,42,42,41,34,2,42,41,42
3,55,55,55,54,48,92,55,55,55
79,31,32,32,31,25,2,34,31,33
65,48,48,48,47,40,73,50,51,48
43,51,51,46,51,33,2,46,45,47
44,48,51,46,48,32,1,48,48,46
67,51,58,54,49,27,91,55,60,50
6,40,42,41,39,33,0,41,40,42
48,57,54,52,55,32,2,54,52,56
38,50,50,46,51,25,2,47,67,49
8,58,55,56,66,33,1,56,69,58
7,49,45,42,49,33,0,42,41,44
