0,1,2,3,4,5,6,7,8,9
60,59,52,43,43,81,44,32,32,44
62,60,52,42,96,80,44,31,31,43
20,57,67,42,43,96,43,31,31,42
89,23,16,47,43,57,43,37,37,49
62,73,60,42,43,51,44,31,31,43
66,48,43,42,44,50,43,31,31,38
61,77,82,42,43,56,43,31,31,42
87,94,89,42,43,52,44,31,31,43
20,77,70,44,48,96,46,31,33,56
20,91,87,42,46,55,43,35,31,42
51,58,53,81,95,84,80,31,71,96
20,59,54,42,44,82,44,31,31,43
20,80,81,52,50,94,53,38,33,54
95,75,73,47,49,90,49,33,34,52
96,72,71,48,45,89,49,31,31,51
60,58,57,42,43,81,44,31,31,43
53,55,67,93,89,96,96,31,83,38
20,92,88,55,53,95,57,35,38,60
60,76,68,42,44,81,44,32,31,43
92,57,55,76,46,83,43,31,31,38
89,70,96,46,47,88,48,32,35,49
62,58,53,42,44,82,43,31,31,42
56,59,63,92,89,93,93,31,88,38
93,80,74,45,50,95,50,33,36,56
96,77,72,46,47,95,48,31,34,50
76,20,19,42,43,49,43,36,34,42
63,61,56,43,43,80,44,31,32,43
79,24,18,51,49,64,53,32,34,53
61,59,51,42,95,80,44,31,31,43
88,95,90,45,43,61,47,32,33,48
90,69,66,46,47,61,47,31,34,48
20,60,54,43,93,81,45,32,32,44
84,90,81,44,43,95,43,31,33,45
76,87,86,42,43,53,43,31,31,38
60,57,52,42,95,81,43,31,31,42
93,68,61,46,48,66,48,32,35,51
59,72,71,42,45,52,43,31,31,41
93,71,64,50,49,69,51,33,36,52
62,63,58,43,43,52,45,32,32,45
62,60,55,43,43,80,45,31,32,44
61,75,68,42,43,51,44,32,31,43
64,93,88,42,43,81,44,31,31,43
96,74,72,47,49,88,48,32,35,51
89,96,94,45,43,62,47,33,34,47
60,58,51,43,94,80,44,31,32,43
61,59,53,42,95,82,44,32,31,43
61,58,53,42,92,81,44,32,31,43
59,89,81,93,43,95,94,31,31,38
62,69,66,42,44,80,43,32,31,43
78,77,10,93,49,95,94,32,31,57
61,67,63,42,45,96,43,31,31,42
94,78,77,51,48,91,53,32,34,52
62,63,58,42,46,96,43,32,32,42
55,66,64,92,90,45,93,31,88,38
52,67,60,92,89,94,94,31,87,38
82,90,20,53,51,67,54,34,36,55
60,60,57,43,43,81,44,32,32,43
62,61,55,43,93,81,45,31,32,44
64,96,92,42,45,53,43,33,31,42
87,96,94,44,43,56,46,32,33,46
60,66,64,42,44,51,44,32,31,43
78,25,19,48,49,64,49,34,36,50
62,74,69,42,44,81,44,31,31,43
60,59,52,42,94,81,44,31,31,43
20,71,15,42,47,95,93,31,31,57
53,49,42,81,77,84,82,31,31,42
89,65,94,44,47,80,46,32,33,47
60,61,56,42,43,96,44,32,31,43
60,62,52,42,93,80,44,31,31,43
79,70,74,93,44,95,94,91,89,38
20,58,51,42,95,81,43,31,31,42
59,76,68,42,96,50,44,32,31,43
52,60,57,76,94,80,77,31,95,38
61,70,66,42,43,82,43,31,31,42
20,58,53,42,93,96,43,31,31,42
61,59,53,42,93,79,44,31,31,43
93,78,70,45,48,95,47,31,33,53
55,53,47,42,94,82,43,31,31,41
20,96,96,52,49,70,53,33,37,53
87,89,87,43,45,83,45,31,32,47
52,77,72,95,89,96,96,31,84,38
87,94,94,42,43,51,44,31,31,43
62,68,65,92,43,95,93,31,68,38
87,94,92,42,45,55,43,33,31,42
50,51,46,94,89,96,95,31,64,92
73,96,94,43,43,52,44,32,31,43
63,89,86,42,44,80,44,31,31,43
20,60,54,42,44,82,43,31,31,43
62,62,57,42,44,82,44,32,31,43
86,94,84,44,43,61,46,32,33,46
75,21,14,45,43,58,47,34,34,47
61,91,87,42,43,51,44,31,31,43
61,60,52,43,95,80,45,32,32,44
61,60,57,43,94,81,45,32,32,44
83,94,90,43,43,60,45,31,32,45
86,96,93,42,43,52,43,31,31,43
71,81,75,44,43,96,46,31,33,45
89,74,71,42,43,51,43,32,31,43
61,58,52,42,96,80,44,32,31,43
61,60,55,42,95,80,44,31,31,44
61,63,56,42,92,51,44,32,31,43
59,60,52,42,44,80,44,31,31,43
96,73,70,44,49,93,49,33,33,53
69,94,89,42,43,56,43,36,31,42
21,76,70,43,46,94,45,31,32,54
62,61,56,43,45,80,44,31,31,44
95,75,71,49,47,86,46,31,33,49
63,91,86,42,43,57,43,31,31,42
60,61,58,42,94,80,43,31,31,42
20,96,93,52,50,95,51,33,37,53
54,52,47,81,96,83,82,31,95,41
78,55,73,91,43,94,92,66,87,38
91,41,43,45,43,55,46,43,41,38
96,80,79,43,48,95,54,31,32,54
20,96,96,45,53,95,46,34,34,75
91,70,16,48,46,62,47,31,32,49
62,74,71,42,43,50,43,31,31,42
87,95,92,42,43,50,43,31,31,42
83,94,94,96,43,45,43,31,31,38
54,54,51,91,87,94,92,31,87,38
40,64,94,68,78,84,69,53,61,74
59,61,65,42,95,50,44,32,31,43
87,96,88,42,43,51,44,31,31,43
60,74,67,42,43,51,44,32,31,43
51,54,56,92,85,94,93,31,86,38
54,52,48,92,86,93,93,65,88,38
94,65,58,47,48,66,48,32,35,50
