0,1,2,3,4,5,6,7,8,9
40,42,42,1,0,38,1,1,1,6
42,43,42,0,53,37,1,0,0,5
0,40,57,0,0,53,0,0,0,4
69,6,6,5,0,14,0,6,6,11
42,56,50,0,0,8,1,0,0,5
46,31,33,0,1,7,0,0,0,0
41,60,72,0,0,13,0,0,0,4
67,77,79,0,0,9,1,0,0,5
0,60,60,2,5,53,3,0,2,18
0,74,77,0,3,12,0,4,0,4
31,41,43,39,52,41,37,0,40,58
0,42,44,0,1,39,1,0,0,5
0,63,71,10,7,51,10,7,2,16
75,58,63,5,6,47,6,2,3,14
76,55,61,6,2,46,6,0,0,13
40,41,47,0,0,38,1,0,0,5
33,38,57,51,46,53,53,0,52,0
0,75,78,13,10,52,14,4,7,22
40,59,58,0,1,38,1,1,0,5
72,40,45,34,3,40,0,0,0,0
69,53,86,4,4,45,5,1,4,11
42,41,43,0,1,39,0,0,0,4
36,42,53,50,46,50,50,0,57,0
73,63,64,3,7,52,7,2,5,18
76,60,62,4,4,52,5,0,3,12
56,3,9,0,0,6,0,5,3,4
43,44,46,1,0,37,1,0,1,5
59,7,8,9,6,21,10,1,3,15
41,42,41,0,52,37,1,0,0,5
68,78,80,3,0,18,4,1,2,10
70,52,56,4,4,18,4,0,3,10
0,43,44,1,50,38,2,1,1,6
64,73,71,2,0,52,0,0,2,7
56,70,76,0,0,10,0,0,0,0
40,40,42,0,52,38,0,0,0,4
73,51,51,4,5,23,5,1,4,13
39,55,61,0,2,9,0,0,0,3
73,54,54,8,6,26,8,2,5,14
42,46,48,1,0,9,2,1,1,7
42,43,45,1,0,37,2,0,1,6
41,58,58,0,0,8,1,1,0,5
44,76,78,0,0,38,1,0,0,5
76,57,62,5,6,45,5,1,4,13
69,79,84,3,0,19,4,2,3,9
40,41,41,1,51,37,1,0,1,5
41,42,43,0,52,39,1,1,0,5
41,41,43,0,49,38,1,1,0,5
39,72,71,51,0,52,51,0,0,0
42,52,56,0,1,37,0,1,0,5
58,60,0,51,6,52,51,1,0,19
41,50,53,0,2,53,0,0,0,4
74,61,67,9,5,48,10,1,3,14
42,46,48,0,3,53,0,1,1,4
35,49,54,50,47,2,50,0,57,0
32,50,50,50,46,51,51,0,56,0
62,73,10,11,8,24,11,3,5,17
40,43,47,1,0,38,1,1,1,5
42,44,45,1,50,38,2,0,1,6
44,79,82,0,2,10,0,2,0,4
67,79,84,2,0,13,3,1,2,8
40,49,54,0,1,8,1,1,0,5
58,8,9,6,6,21,6,3,5,12
42,57,59,0,1,38,1,0,0,5
40,42,42,0,51,38,1,0,0,5
0,54,5,0,4,52,50,0,0,19
33,32,32,39,34,41,39,0,0,4
69,48,84,2,4,37,3,1,2,9
40,44,46,0,0,53,1,1,0,5
40,45,42,0,50,37,1,0,0,5
59,53,64,51,1,52,51,60,58,0
0,41,41,0,52,38,0,0,0,4
39,59,58,0,53,7,1,1,0,5
32,43,47,34,51,37,34,0,64,0
41,53,56,0,0,39,0,0,0,4
0,41,43,0,50,53,0,0,0,4
41,42,43,0,50,36,1,0,0,5
73,61,60,3,5,52,4,0,2,15
35,36,37,0,51,39,0,0,0,3
0,79,86,10,6,27,10,2,6,15
67,72,77,1,2,40,2,0,1,9
32,60,62,53,46,53,53,0,53,0
67,77,84,0,0,8,1,0,0,5
42,51,55,50,0,52,50,0,37,0
67,77,82,0,2,12,0,2,0,4
30,34,36,52,46,53,52,0,33,54
53,79,84,1,0,9,1,1,0,5
43,72,76,0,1,37,1,0,0,5
0,43,44,0,1,39,0,0,0,5
42,45,47,0,1,39,1,1,0,5
66,77,74,2,0,18,3,1,2,8
55,4,4,3,0,15,4,3,3,9
41,74,77,0,0,8,1,0,0,5
41,43,42,1,52,37,2,1,1,6
41,43,47,1,51,38,2,1,1,6
63,77,80,1,0,17,2,0,1,7
66,79,83,0,0,9,0,0,0,5
51,64,65,2,0,53,3,0,2,7
69,57,61,0,0,8,0,1,0,5
41,41,42,0,53,37,1,1,0,5
41,43,45,0,52,37,1,0,0,6
41,46,46,0,49,8,1,1,0,5
39,43,42,0,1,37,1,0,0,5
76,56,60,2,6,50,6,2,2,15
49,77,79,0,0,13,0,5,0,4
1,59,60,1,3,51,2,0,1,16
42,44,46,1,2,37,1,0,0,6
75,58,61,7,4,43,3,0,2,11
43,74,76,0,0,14,0,0,0,4
40,44,48,0,51,37,0,0,0,4
0,79,83,10,7,52,8,2,6,15
34,35,37,39,53,40,39,0,64,3
58,38,63,49,0,51,49,35,56,0
71,24,33,3,0,12,3,12,10,0
76,63,69,1,5,52,11,0,1,16
0,79,86,3,10,52,3,3,3,37
71,53,6,6,3,19,4,0,1,11
42,57,61,0,0,7,0,0,0,4
67,78,82,0,0,7,0,0,0,4
63,77,84,54,0,2,0,0,0,0
34,37,41,49,44,51,49,0,56,0
20,47,84,26,35,41,26,22,30,36
39,44,55,0,52,7,1,1,0,5
67,79,78,0,0,8,1,0,0,5
40,57,57,0,0,8,1,1,0,5
31,37,46,50,42,51,50,0,55,0
34,35,38,50,43,50,50,34,57,0
74,48,48,5,5,23,5,1,4,12
69,48,50,0,0,38,1,0,0,5
35,37,37,51,46,53,53,0,51,58
45,54,60,0,1,37,1,0,0,5
50,79,80,0,0,14,1,1,1,5
41,42,42,1,49,38,1,0,1,5
0,61,59,10,7,46,10,2,5,15
34,35,37,0,50,38,0,1,0,4
57,42,36,50,0,52,50,0,0,0
68,73,73,2,3,46,4,0,2,11
43,57,73,0,1,36,0,0,0,4
41,75,78,0,0,37,0,0,0,4
21,60,86,42,38,0,42,22,46,44
68,77,79,6,5,53,5,0,3,14
42,45,44,0,2,39,1,1,0,6
72,50,55,0,0,5,0,0,2,1
36,79,78,0,2,4,0,0,0,1
42,55,56,0,0,53,0,0,0,4
41,47,49,1,0,13,2,0,1,6
40,46,48,1,0,39,1,0,1,5
41,46,48,0,1,38,1,0,0,5
75,56,61,6,2,45,2,0,0,10
40,55,57,0,1,15,1,0,0,5
33,40,44,51,45,53,51,0,47,0
43,44,46,0,1,37,1,0,0,6
21,27,33,53,48,52,53,24,28,55
0,65,10,9,7,23,9,3,5,14
0,63,62,10,7,53,7,2,5,15
39,70,73,49,0,51,49,52,57,0
40,41,41,1,0,37,2,0,1,6
42,45,57,1,0,38,1,1,1,6
71,62,66,3,6,52,7,2,3,17
57,70,76,49,0,8,49,58,0,0
0,64,69,10,8,52,8,3,6,15
72,75,24,21,24,51,22,21,21,27
40,44,45,0,53,37,1,0,0,5
43,58,57,1,53,10,1,56,1,5
0,55,58,49,4,51,49,0,0,14
0,76,12,18,10,33,18,4,8,23
62,76,67,3,8,53,6,2,5,21
41,47,56,0,0,10,1,0,0,5
69,79,81,0,0,7,1,0,0,5
41,44,43,0,53,10,1,0,0,5
41,42,42,0,1,38,1,0,0,5
43,43,45,1,52,39,2,0,1,6
41,45,49,0,0,37,1,0,0,5
38,41,50,0,0,39,0,0,0,3
0,42,43,0,51,37,0,0,0,5
46,77,79,0,0,8,1,1,0,5
0,58,62,1,5,40,2,2,1,7
42,57,74,0,0,9,0,1,0,4
66,46,85,2,0,20,3,0,2,8
41,47,49,0,0,9,1,0,0,5
42,46,48,0,53,37,1,0,0,6
42,43,44,1,51,39,2,1,1,6
76,77,7,2,0,15,3,1,2,8
59,70,72,0,0,5,0,0,0,0
41,49,53,1,0,9,2,1,1,6
0,78,69,5,8,53,6,2,6,20
61,78,84,1,0,13,2,0,2,7
63,46,48,2,0,36,3,0,65,7
73,52,52,6,7,45,6,2,6,15
66,79,81,0,0,11,1,7,0,6
42,56,60,0,0,37,1,0,0,5
45,75,78,0,2,11,0,0,0,3
20,28,37,21,26,51,21,21,21,33
0,76,75,3,7,52,6,2,4,18
43,43,44,0,53,38,1,0,1,6
58,61,66,1,5,48,4,0,2,15
40,42,42,0,51,37,0,0,0,5
41,41,42,0,51,38,0,0,0,4
0,65,77,12,9,53,13,4,7,20
35,53,58,54,52,4,53,0,61,1
67,70,72,0,2,39,2,0,0,9
