0,1,2,3,4,5,6,7,8,9
64,93,81,44,46,45,43,42,44,32
63,74,80,44,46,44,42,41,43,31
77,89,80,48,45,44,46,41,43,36
25,24,22,47,49,49,46,48,47,38
72,96,95,43,45,44,42,41,43,31
49,21,38,43,45,44,41,41,42,31
91,96,15,43,45,44,41,41,42,31
96,95,94,43,45,44,42,41,43,31
78,78,68,54,55,54,52,51,57,33
95,95,93,43,45,44,42,41,43,36
61,72,86,95,85,84,96,81,96,31
62,73,81,44,46,44,42,41,44,31
85,28,25,54,55,54,52,51,54,41
73,26,20,50,51,53,48,47,52,34
72,22,16,49,51,49,47,46,52,36
64,94,68,44,46,44,42,41,43,31
78,81,76,44,45,44,42,41,42,31
96,29,27,57,59,61,55,58,60,44
78,96,93,44,45,44,42,41,43,31
67,70,69,43,45,44,41,41,42,31
68,25,19,50,50,51,48,48,50,38
62,74,83,43,45,44,41,41,43,31
67,85,73,43,45,44,41,41,38,31
77,26,65,55,57,56,53,53,58,35
78,24,59,51,50,51,47,49,51,34
24,25,22,43,45,44,41,41,42,36
66,90,81,44,46,44,43,41,43,31
27,25,19,52,54,53,51,50,54,40
63,71,65,43,45,44,42,41,43,31
96,27,18,50,50,51,46,48,49,39
67,24,18,50,49,48,46,45,48,35
63,64,52,44,46,45,43,42,44,32
64,58,56,46,45,46,44,43,45,33
55,17,86,43,45,44,41,41,38,31
65,89,81,43,45,44,41,41,42,31
71,25,19,52,50,52,50,50,52,35
90,90,88,43,45,44,41,41,41,31
71,27,22,53,54,54,50,51,53,40
78,93,82,45,47,45,44,42,45,32
62,70,81,44,46,45,43,42,45,32
74,93,91,44,46,44,42,41,43,31
96,95,95,44,46,44,42,41,43,31
72,26,60,53,50,53,51,50,51,35
63,26,19,49,49,48,47,45,47,34
63,70,81,44,46,44,43,41,43,32
65,94,83,44,46,44,42,41,43,31
62,72,81,44,46,44,42,41,43,31
90,17,87,43,45,44,41,41,38,31
74,95,89,43,45,44,42,41,43,31
78,75,67,48,45,44,47,41,57,31
76,95,94,43,45,44,41,41,42,36
81,25,19,52,54,53,50,50,54,33
76,77,77,44,46,44,43,41,43,32
75,88,73,43,45,44,41,41,38,31
70,83,72,43,90,44,41,41,38,31
29,27,21,54,56,55,53,52,54,42
69,94,69,44,46,45,43,42,43,32
63,66,54,44,46,45,43,42,45,32
96,22,21,43,45,44,41,41,42,31
65,24,18,45,47,45,46,43,46,33
77,95,82,44,46,44,42,41,43,31
29,27,20,52,51,53,49,50,50,40
96,95,92,43,45,44,42,41,43,31
62,68,53,44,46,44,42,41,43,31
74,74,17,54,55,54,52,43,56,33
52,58,86,43,45,44,41,41,42,31
69,62,56,48,47,46,46,43,48,33
63,92,81,44,46,44,42,41,43,31
66,74,81,43,45,44,42,41,43,31
72,87,74,43,45,44,41,41,38,90
61,70,62,43,45,44,41,41,42,31
74,94,82,44,46,44,42,41,43,31
68,94,73,44,96,96,42,41,40,31
74,96,92,43,45,44,41,41,42,31
61,90,81,47,45,44,41,41,42,31
62,69,63,43,45,44,42,41,43,31
81,69,96,51,52,56,48,48,54,33
55,63,44,43,45,44,41,41,42,31
96,27,20,53,55,54,51,51,54,41
93,66,59,47,46,45,45,42,48,31
83,85,84,44,45,44,42,41,42,31
96,95,16,44,46,44,43,41,43,31
72,44,38,43,45,44,41,41,38,31
70,26,20,43,45,44,41,41,42,35
58,88,77,91,91,91,43,91,91,31
96,96,15,44,46,44,42,42,43,32
96,96,93,43,46,44,42,41,43,31
62,74,83,43,45,44,42,41,43,31
69,96,81,44,46,44,42,41,43,31
96,25,19,49,47,47,47,44,47,33
23,21,13,45,47,46,44,44,46,34
96,96,93,43,45,44,42,41,43,31
62,62,52,44,46,45,43,42,44,32
65,74,82,44,46,45,43,42,44,32
96,96,96,49,47,46,46,46,46,39
96,96,96,43,45,44,42,41,43,31
84,94,94,46,47,46,44,43,45,33
74,22,15,43,45,44,42,41,43,31
62,73,80,44,46,44,42,41,43,31
63,73,81,44,46,44,43,41,44,31
68,89,81,44,46,44,42,41,43,31
62,67,81,43,45,44,42,41,42,31
74,25,60,52,51,53,49,50,53,33
96,95,93,43,45,44,42,41,42,31
80,81,17,54,53,52,53,49,54,32
63,73,81,44,46,44,43,41,44,31
75,23,17,50,48,50,45,48,50,33
94,95,14,43,45,44,41,41,42,31
69,93,81,43,45,44,41,41,43,31
74,27,21,54,53,54,50,52,54,38
56,73,85,43,45,44,41,41,41,31
56,87,57,43,45,44,41,41,38,31
37,34,33,43,45,44,41,43,38,41
80,69,68,52,55,59,46,42,55,32
96,96,88,73,48,74,71,48,75,38
70,23,20,50,51,50,48,47,50,37
86,95,90,43,45,44,41,41,42,31
95,21,14,43,45,44,41,41,42,31
95,94,93,43,45,44,41,41,40,31
58,81,73,43,45,44,41,41,38,31
64,61,95,77,75,74,76,71,75,61
73,95,83,44,45,44,42,41,43,31
96,95,95,44,45,44,42,41,43,31
93,96,90,44,46,44,43,41,43,31
64,86,64,44,45,44,41,41,38,31
60,87,74,43,45,44,41,41,38,31
67,26,19,51,50,52,49,49,51,35
66,22,15,43,45,44,42,41,43,31
56,68,63,96,96,96,94,93,96,83
76,95,81,43,45,44,42,41,43,31
96,96,16,44,46,44,42,41,43,32
61,74,81,44,46,44,42,41,43,31
75,27,24,54,55,54,52,51,55,41
55,66,84,43,45,44,42,41,42,31
84,87,84,43,45,44,41,41,38,31
92,69,59,49,47,46,47,43,49,33
92,96,96,43,45,44,41,41,42,31
96,96,94,43,45,44,41,41,42,31
80,77,96,43,82,81,41,80,82,77
96,24,18,51,52,53,48,48,52,38
67,89,81,44,46,44,42,41,44,31
68,17,10,43,45,44,41,41,39,31
96,95,95,45,45,44,43,41,40,31
75,95,91,43,45,44,41,41,42,31
72,93,81,44,46,45,43,42,44,32
73,95,73,44,46,44,43,41,43,32
66,94,82,43,45,44,42,41,43,31
71,22,16,49,50,49,46,46,49,31
92,95,15,44,45,44,42,41,43,31
63,68,74,43,90,90,41,90,38,31
64,72,80,44,46,44,44,41,44,31
52,92,84,91,75,92,92,93,92,90
78,27,24,53,54,54,51,51,52,41
78,27,21,53,55,54,51,51,53,41
87,88,84,43,45,44,41,41,38,31
63,90,81,44,46,45,43,42,44,32
74,93,82,44,46,44,43,42,44,32
79,71,65,54,55,56,53,51,55,34
88,87,40,43,45,44,41,41,38,31
78,28,25,55,56,55,53,52,55,42
47,49,57,70,66,65,41,61,65,51
67,81,81,44,45,44,42,41,43,31
76,87,80,44,46,44,42,41,43,32
75,85,77,50,51,50,51,47,52,32
31,29,26,61,62,62,59,59,61,43
90,91,84,55,57,56,54,47,58,37
74,93,82,44,45,44,42,41,43,31
72,22,15,43,45,44,42,41,43,31
63,73,65,43,45,44,42,41,43,31
61,73,81,43,45,44,42,41,43,31
