0,1,2,3,4,5,6,7,8,9
44,76,71,1,1,1,2,1,6,1
43,57,70,1,1,0,1,0,5,0
57,72,70,5,0,0,5,0,5,5
5,7,12,4,4,5,5,7,9,7
52,79,85,0,0,0,1,0,5,0
29,4,28,0,0,0,0,0,4,0
71,79,5,0,0,0,0,0,4,0
76,78,84,0,0,0,1,0,5,0
58,61,58,11,10,10,11,10,19,2
75,78,83,0,0,0,1,0,5,5
41,55,76,52,40,40,55,40,58,0
42,56,71,1,1,0,1,0,6,0
65,11,15,11,10,10,11,10,16,10
53,9,10,7,6,9,7,6,14,3
52,5,6,6,6,5,6,5,14,5
44,77,58,1,1,0,1,0,5,0
58,64,66,1,0,0,1,0,4,0
76,12,17,14,14,17,14,17,22,13
58,79,83,1,0,0,1,0,5,0
47,53,59,0,0,0,0,0,4,0
48,8,9,7,5,7,7,7,12,7
42,57,73,0,0,0,0,0,5,0
47,68,63,0,0,0,0,0,0,0
57,9,55,12,12,12,12,12,20,4
58,7,49,8,5,7,6,8,13,3
4,8,12,0,0,0,0,0,4,5
46,73,71,1,1,0,2,0,5,0
7,8,9,9,9,9,10,9,16,9
43,54,55,0,0,0,1,0,5,0
76,10,8,7,5,7,5,7,11,8
47,7,8,7,4,4,5,4,10,4
43,47,42,1,1,1,2,1,6,1
44,41,46,3,0,2,3,2,7,2
35,0,76,0,0,0,0,0,0,0
45,72,71,0,0,0,0,0,4,0
51,8,9,9,5,8,9,9,14,4
70,73,78,0,0,0,0,0,3,0
51,10,12,10,9,10,9,10,15,9
58,76,72,2,2,1,3,1,7,1
42,53,71,1,1,1,2,1,7,1
54,76,81,1,1,0,1,0,5,0
76,78,85,1,1,0,1,0,5,0
52,9,50,10,5,9,10,9,13,4
43,9,9,6,4,4,6,4,9,3
43,53,71,1,1,0,2,0,5,1
45,77,73,1,1,0,1,0,5,0
42,55,71,1,1,0,1,0,5,0
70,0,77,0,0,0,0,0,0,0
54,78,79,0,0,0,1,0,5,0
58,58,57,5,0,0,6,0,19,0
56,78,84,0,0,0,0,0,4,5
61,8,9,9,9,9,9,9,16,2
56,60,67,1,1,0,2,0,5,1
55,71,63,0,0,0,0,0,0,0
50,66,62,0,45,0,0,0,0,0
9,10,11,11,11,11,12,11,16,11
49,77,59,1,1,1,2,1,5,1
43,49,44,1,1,1,2,1,7,1
76,5,11,0,0,0,0,0,4,0
45,7,8,2,2,1,5,2,8,2
57,78,72,1,1,0,1,0,5,0
9,10,10,9,6,9,8,9,12,9
76,78,82,0,0,0,1,0,5,0
42,51,43,1,1,0,1,0,5,0
54,57,7,11,10,10,11,2,18,2
32,41,76,0,0,0,0,0,4,0
49,45,46,5,2,2,5,2,10,2
43,75,71,1,1,0,1,0,5,0
46,57,71,0,0,0,1,0,5,0
52,70,64,0,0,0,0,0,0,59
41,53,52,0,0,0,0,0,4,0
54,77,72,1,1,0,1,0,5,0
48,77,63,1,51,52,1,0,2,0
54,79,82,0,0,0,0,0,4,0
41,73,71,4,0,0,0,0,4,0
42,52,53,0,0,0,1,0,5,0
61,52,86,8,7,12,7,7,16,2
35,46,34,0,0,0,0,0,4,0
76,10,10,10,10,10,10,10,16,10
73,49,49,4,1,1,4,1,10,0
63,68,74,1,0,0,1,0,4,0
76,78,6,1,1,0,2,0,5,0
52,27,28,0,0,0,0,0,0,0
50,9,10,0,0,0,0,0,4,4
38,71,67,48,46,47,2,50,53,0
76,79,5,1,1,0,1,1,5,1
76,79,83,0,1,0,1,0,5,0
42,57,73,0,0,0,1,0,5,0
49,79,71,1,1,0,1,0,5,0
76,8,9,6,2,3,6,3,9,2
3,4,3,2,2,2,3,3,8,3
76,79,83,0,0,0,1,0,5,0
42,45,42,1,1,1,2,1,6,1
45,57,72,1,1,1,2,1,6,1
76,79,86,6,2,2,5,5,8,8
76,79,86,0,0,0,1,0,5,0
64,77,84,3,2,2,3,2,7,2
54,5,5,0,0,0,1,0,5,0
42,56,70,1,1,0,1,0,5,0
43,56,71,1,1,0,2,0,6,0
48,72,71,1,1,0,1,0,5,0
42,50,71,0,0,0,1,0,4,0
54,8,50,9,6,9,8,9,15,2
76,78,83,0,0,0,1,0,4,0
60,64,7,11,8,8,12,8,16,1
43,56,71,1,1,0,2,0,6,0
55,6,7,7,3,6,4,7,12,2
74,78,4,0,0,0,0,0,4,0
49,76,71,0,0,0,0,0,5,0
54,10,11,11,8,10,9,11,16,7
36,56,75,0,0,0,0,0,3,0
36,70,47,0,0,0,0,0,0,0
17,17,23,0,0,0,0,2,0,10
60,52,58,9,10,15,5,1,17,1
76,79,78,30,3,30,30,7,37,7
50,6,10,7,6,6,7,6,12,6
66,78,80,0,0,0,0,0,4,0
75,4,4,0,0,0,0,0,4,0
75,77,83,0,0,0,0,0,2,0
38,64,63,0,0,0,0,0,0,0
44,44,85,34,30,30,35,30,37,30
53,78,73,1,0,0,1,0,5,0
76,78,85,1,0,0,1,0,5,0
73,79,80,1,1,0,2,0,5,0
44,69,54,1,0,0,0,0,0,0
40,70,64,0,0,0,0,0,0,0
47,9,9,8,5,8,8,8,13,4
46,5,5,0,0,0,1,0,5,0
36,51,53,53,51,52,53,52,58,52
56,78,71,0,0,0,1,0,5,0
76,79,6,1,1,0,1,0,5,1
41,57,71,1,1,0,1,0,5,0
55,10,14,11,10,10,11,10,17,10
35,49,74,0,0,0,1,0,4,0
64,70,74,0,0,0,0,0,0,0
72,52,49,6,2,2,6,2,11,2
72,79,86,0,0,0,0,0,4,0
76,79,84,0,0,0,0,0,4,0
60,60,86,0,37,37,0,39,44,46
76,7,8,8,7,9,7,7,14,7
47,72,71,1,1,0,1,0,6,0
