0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
26,15,25,22,21,22,25,20,20,22,23,22,26,26,22,26,27,13,22,22,27,26,25,22,22,26,26,22
7,0,7,6,8,6,7,5,5,6,7,6,8,8,6,7,8,2,7,7,7,8,7,6,7,7,8,7
25,15,24,20,20,20,25,18,19,20,23,20,26,26,20,25,26,13,20,20,27,26,24,20,20,25,26,20
28,19,27,24,25,24,27,23,23,25,27,24,29,29,24,28,29,16,24,25,29,29,27,24,25,28,29,25
16,6,16,13,14,13,16,12,12,13,15,13,16,16,13,16,16,10,13,13,16,16,16,13,13,16,16,13
14,6,14,13,14,13,14,12,11,13,14,13,18,18,13,14,15,4,13,13,18,15,14,13,13,14,15,13
27,19,27,23,24,23,27,21,25,23,27,23,31,30,23,27,31,21,23,23,31,31,27,23,23,27,31,23
22,12,22,17,17,17,22,15,16,17,19,17,23,23,17,22,23,14,17,17,24,23,22,17,17,22,23,17
15,6,14,13,13,12,14,10,10,13,13,13,16,16,13,15,14,4,13,13,15,16,14,13,13,15,16,13
16,5,15,12,13,12,16,10,11,12,13,12,16,16,12,16,16,9,12,12,16,17,15,12,12,16,17,12
25,12,24,19,19,19,25,18,17,19,22,19,26,26,19,25,27,15,19,19,27,26,24,19,19,25,26,19
23,12,22,17,18,17,23,16,14,17,20,17,24,24,17,23,24,15,17,17,26,24,22,17,17,23,24,17
5,0,5,5,6,5,5,3,3,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5
16,6,15,13,13,13,15,12,12,13,15,13,16,16,13,16,16,11,13,13,16,16,15,13,13,16,16,13
35,26,34,30,31,30,34,29,29,30,32,30,36,36,30,35,36,24,30,30,37,36,34,30,30,35,36,30
16,5,16,12,13,12,16,11,12,12,14,12,17,17,12,16,18,9,12,12,18,17,16,12,12,16,17,12
14,6,14,12,13,12,14,11,10,12,14,12,15,15,12,14,15,4,12,12,15,15,14,12,12,14,15,12
17,6,16,13,14,13,16,12,13,13,15,13,18,18,13,17,18,10,13,13,18,18,16,13,13,17,18,13
15,9,15,12,13,12,15,10,8,12,13,12,15,15,12,15,15,6,12,12,15,15,15,12,12,15,15,12
26,15,26,21,21,21,26,20,22,21,25,21,27,27,21,26,28,18,21,21,28,27,26,21,21,26,27,21
12,3,11,8,8,8,11,7,6,8,10,8,15,15,8,12,16,6,8,8,16,15,11,8,8,12,15,8
15,5,15,12,13,12,15,10,9,12,14,12,16,16,12,15,15,3,12,12,15,16,15,12,12,15,16,12
19,11,18,14,16,14,18,13,14,14,16,14,19,19,14,19,19,9,14,14,20,19,18,14,14,19,19,14
9,4,9,6,8,6,9,5,6,6,8,6,9,9,6,9,9,2,6,7,9,9,9,6,7,9,9,6
16,5,15,12,13,12,15,11,11,12,14,12,16,16,12,16,15,9,12,12,15,16,15,12,12,16,16,12
10,2,9,5,6,5,10,4,4,5,8,5,13,13,5,10,15,2,5,5,15,13,9,5,5,10,13,5
17,5,17,12,12,12,17,11,12,12,15,12,19,19,12,17,20,10,12,12,21,19,17,12,12,17,19,12
