0,1,2,3,4,5,6,7,8,9
61,33,35,39,42,42,68,35,68,29
62,54,57,38,44,44,70,35,69,29
46,53,35,38,43,42,69,36,68,28
7,14,34,38,42,42,30,36,29,69
62,69,35,39,43,41,70,37,69,29
25,36,34,38,42,41,69,35,68,28
7,14,35,40,43,42,31,38,30,68
61,68,70,42,43,42,30,40,67,34
31,14,35,38,42,41,29,35,29,68
7,14,34,38,42,42,29,35,29,28
61,33,34,39,42,41,68,36,68,28
25,69,35,38,42,41,69,37,68,29
25,32,35,38,42,41,70,35,29,28
48,28,35,37,41,40,70,35,29,28
62,69,36,40,44,43,70,37,69,30
47,69,36,39,43,43,69,36,69,29
26,53,70,40,43,42,68,36,68,67
66,14,33,37,41,41,29,35,28,68
33,28,35,38,42,39,29,35,29,68
65,52,34,38,42,42,68,35,68,28
62,69,70,38,41,40,30,35,69,68
27,69,34,39,42,41,69,36,69,28
22,28,34,37,38,38,29,35,28,68
61,68,70,38,42,42,68,35,67,66
62,69,70,37,41,59,29,34,28,28
61,69,35,40,43,43,30,36,68,29
48,28,34,36,37,37,70,33,28,28
8,14,36,38,43,39,30,36,29,69
60,67,35,41,43,42,30,35,51,34
62,38,35,39,43,42,70,36,69,69
42,70,70,38,40,40,29,35,69,27
47,27,70,36,37,36,69,34,68,28
61,69,35,38,43,42,30,36,68,29
61,68,70,37,42,40,29,34,68,67
62,69,70,37,40,40,29,35,68,68
43,68,70,38,42,42,29,35,69,68
61,38,34,41,43,42,29,34,28,68
24,31,34,38,40,40,30,35,29,68
26,53,35,41,43,42,69,36,68,28
8,36,70,38,41,40,70,35,69,68
61,39,36,38,43,43,30,35,68,67
7,68,70,38,43,59,29,35,67,66
48,55,34,40,44,43,30,37,30,29
7,70,70,37,42,41,29,35,68,28
26,68,35,38,42,41,30,35,67,29
45,51,35,38,43,42,67,35,67,29
63,69,35,41,43,41,30,35,67,67
63,70,34,38,42,41,69,35,68,28
47,54,36,40,44,43,70,37,69,30
63,70,34,38,42,40,29,35,68,28
61,35,35,39,42,42,69,36,68,68
62,33,42,43,43,43,69,36,35,35
61,68,34,41,42,41,29,35,35,66
46,53,34,39,63,42,68,35,68,27
34,29,33,37,42,39,29,35,28,27
62,69,70,38,41,41,30,35,69,68
21,28,33,37,41,39,29,35,28,69
62,69,34,38,42,40,29,35,68,28
62,69,34,38,42,40,69,36,68,28
62,38,35,38,44,44,30,35,69,69
26,69,70,38,42,41,29,35,28,70
43,70,70,40,44,44,30,37,69,68
41,67,69,40,40,40,29,34,68,67
62,33,34,39,42,42,30,36,29,69
26,68,70,39,43,59,68,36,68,28
44,51,33,38,42,42,29,35,29,27
45,21,36,42,43,42,31,36,36,35
46,53,36,39,44,43,69,36,68,29
60,39,35,42,44,44,30,39,68,67
7,14,35,37,41,40,70,35,28,28
47,54,35,38,44,44,30,36,69,29
62,69,34,37,41,40,29,35,29,68
62,69,34,38,42,41,68,35,68,28
47,53,34,36,36,38,70,34,28,27
7,14,35,38,38,62,30,36,29,69
21,54,35,37,37,37,29,35,29,28
61,68,35,38,43,41,29,35,29,28
42,69,70,37,40,40,29,34,69,68
61,54,57,38,64,44,30,36,69,68
60,66,56,40,43,43,67,37,66,33
7,14,34,38,43,43,29,35,68,67
47,54,33,36,39,38,70,34,28,27
62,68,35,39,42,42,69,36,68,29
61,35,35,41,43,42,69,35,69,68
26,69,35,39,42,41,69,36,68,28
22,29,35,38,42,38,30,35,29,68
61,68,70,38,43,59,29,35,67,66
26,33,34,39,42,42,69,36,69,68
7,70,70,38,43,41,29,35,69,68
7,14,35,38,42,42,30,36,29,69
60,52,70,42,43,43,68,36,67,34
26,69,34,38,42,40,69,36,68,28
7,70,70,37,41,40,29,34,68,68
62,34,35,41,44,43,70,36,69,29
7,14,34,36,39,39,29,34,28,68
62,41,35,38,44,44,69,36,68,29
42,69,70,39,43,59,29,36,69,68
27,69,35,39,43,41,30,36,69,68
46,53,34,38,43,42,69,35,68,28
61,69,70,37,43,41,29,34,68,28
47,29,34,36,39,39,69,34,68,28
26,33,34,40,43,42,69,35,69,69
23,30,33,37,40,39,69,33,28,27
48,29,34,36,39,38,70,34,28,28
61,36,35,41,42,42,69,35,68,68
62,35,35,39,42,41,30,36,69,29
62,32,34,36,43,42,29,35,29,28
7,70,35,41,43,43,30,36,68,68
62,69,70,38,42,59,68,35,67,67
62,69,34,38,41,40,68,35,68,28
61,68,34,39,43,41,29,35,28,28
21,27,35,37,42,38,29,35,28,68
61,68,33,40,42,42,29,37,68,68
22,29,35,38,42,39,29,35,29,68
61,39,34,38,43,43,68,35,68,68
7,14,34,40,43,40,30,37,29,68
50,40,36,38,43,40,30,36,29,29
27,34,35,39,43,42,70,37,70,69
47,54,35,38,44,44,69,35,69,29
61,68,34,39,43,42,69,35,68,28
67,28,34,37,39,37,29,34,28,28
7,14,34,38,38,40,29,35,29,69
61,69,70,38,42,58,30,35,68,68
7,14,35,38,40,62,30,36,29,69
61,35,34,42,43,43,69,35,68,28
46,53,35,38,43,43,68,35,68,67
7,14,35,38,43,40,30,35,29,69
26,69,34,38,42,40,69,35,68,67
62,69,35,37,40,40,29,34,28,28
62,69,70,37,41,40,30,35,69,68
7,70,70,38,43,41,69,35,68,68
8,14,35,38,41,40,30,35,29,69
32,70,35,38,42,39,29,35,29,68
60,54,57,39,44,44,30,36,68,30
61,68,36,38,43,42,68,35,68,29
42,69,70,38,43,59,68,35,68,67
62,69,70,36,41,58,29,34,69,28
47,54,35,39,43,43,70,36,69,29
26,69,34,38,42,42,68,36,68,28
61,68,35,39,42,60,68,36,68,29
62,68,36,39,43,41,69,37,68,30
67,31,33,37,40,39,70,35,29,28
45,34,35,42,43,42,31,39,68,66
30,54,35,37,42,42,70,35,29,29
62,69,70,37,41,40,29,35,67,27
61,37,33,39,43,42,69,36,69,27
25,32,34,37,41,41,70,34,69,28
62,69,70,37,43,59,29,35,68,28
20,27,34,35,40,37,70,32,28,69
61,68,35,39,42,42,69,36,69,68
33,39,36,39,43,40,30,36,30,69
61,33,34,40,43,42,69,35,68,68
7,70,70,38,42,41,29,35,68,67
61,68,34,38,41,41,69,36,68,28
