0,1,2,3,4,5,6,7,8,9
54,19,3,9,13,14,41,8,42,4
55,40,25,8,15,16,43,8,43,4
39,39,3,8,14,14,42,9,42,3
0,0,2,8,13,14,3,9,3,44
55,55,3,9,14,13,43,10,43,4
18,22,2,8,13,13,42,8,42,3
0,0,3,10,14,14,4,11,4,43
54,54,38,12,14,14,3,13,41,9
24,0,3,8,13,13,2,8,3,43
0,0,2,8,13,14,2,8,3,3
54,19,2,9,13,13,41,9,42,3
18,55,3,8,13,13,42,10,42,4
18,18,3,8,13,13,43,8,3,3
41,14,3,7,12,12,43,8,3,3
55,55,4,10,15,15,43,10,43,5
40,55,4,9,14,15,42,9,43,4
19,39,38,10,14,14,41,9,42,42
59,0,1,7,12,13,2,8,2,43
26,14,3,8,13,11,2,8,3,43
58,38,2,8,13,14,41,8,42,3
55,55,38,8,12,12,3,8,43,43
20,55,2,9,13,13,42,9,43,3
15,14,2,7,9,10,2,8,2,43
54,54,38,8,13,14,41,8,41,41
55,55,38,7,12,31,2,7,2,3
54,55,3,10,14,15,3,9,42,4
41,14,2,6,8,9,43,6,2,3
1,0,4,8,14,11,3,9,3,44
53,53,3,11,14,14,3,8,25,9
55,24,3,9,14,14,43,9,43,44
35,56,38,8,11,12,2,8,43,2
40,13,38,6,8,8,42,7,42,3
54,55,3,8,14,14,3,9,42,4
54,54,38,7,13,12,2,7,42,42
55,55,38,7,11,12,2,8,42,43
36,54,38,8,13,14,2,8,43,43
54,24,2,11,14,14,2,7,2,43
17,17,2,8,11,12,3,8,3,43
19,39,3,11,14,14,42,9,42,3
1,22,38,8,12,12,43,8,43,43
54,25,4,8,14,15,3,8,42,42
0,54,38,8,14,31,2,8,41,41
41,41,2,10,15,15,3,10,4,4
0,56,38,7,13,13,2,8,42,3
19,54,3,8,13,13,3,8,41,4
38,37,3,8,14,14,40,8,41,4
56,55,3,11,14,13,3,8,41,42
56,56,2,8,13,13,42,8,42,3
40,40,4,10,15,15,43,10,43,5
56,56,2,8,13,12,2,8,42,3
54,21,3,9,13,14,42,9,42,43
55,19,10,13,14,15,42,9,9,10
54,54,2,11,13,13,2,8,9,41
39,39,2,9,34,14,41,8,42,2
27,15,1,7,13,11,2,8,2,2
55,55,38,8,12,13,3,8,43,43
14,14,1,7,12,11,2,8,2,44
55,55,2,8,13,12,2,8,42,3
55,55,2,8,13,12,42,9,42,3
55,24,3,8,15,16,3,8,43,44
19,55,38,8,13,13,2,8,2,45
36,56,38,10,15,16,3,10,43,43
34,53,37,10,11,12,2,7,42,42
55,19,2,9,13,14,3,9,3,44
19,54,38,9,14,31,41,9,42,3
37,37,1,8,13,14,2,8,3,2
38,7,4,12,14,14,4,9,10,10
39,39,4,9,15,15,42,9,42,4
53,25,3,12,15,16,3,12,42,42
0,0,3,7,12,12,43,8,2,3
40,40,3,8,15,16,3,9,43,4
55,55,2,7,12,12,2,8,3,43
55,55,2,8,13,13,41,8,42,3
40,39,2,6,7,10,43,7,2,2
0,0,3,8,9,34,3,9,3,44
14,40,3,7,8,9,2,8,3,3
54,54,3,8,14,13,2,8,3,3
35,55,38,7,11,12,2,7,43,43
