0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
6,11,10,11,7,1,11,1,7,7,7,11,11,7,7,41,11,40,10,11,11
7,12,12,12,46,2,12,2,46,8,46,12,12,46,46,8,12,0,12,12,12
47,8,10,8,8,2,7,2,8,48,8,8,7,8,8,41,7,40,8,8,7
47,13,10,13,8,2,12,2,8,48,8,13,12,8,8,42,12,41,8,13,12
7,11,10,11,7,1,11,1,7,48,7,11,11,7,7,42,11,41,11,11,11
46,8,8,8,8,1,8,1,8,47,8,8,8,8,8,41,8,40,8,8,8
47,11,10,11,7,1,11,1,7,48,7,11,11,7,7,48,11,47,7,11,11
7,12,10,12,8,1,11,1,8,8,8,12,11,8,8,40,11,39,8,12,11
46,11,10,11,7,1,11,1,7,47,7,11,11,7,7,1,11,39,7,11,11
44,48,48,48,48,1,48,1,47,45,48,48,48,47,48,1,48,0,48,48,48
47,9,8,9,9,2,9,3,9,47,9,9,9,9,9,3,9,41,9,9,9
7,12,11,12,7,2,11,2,7,8,7,12,11,7,7,2,11,1,12,12,11
47,11,8,11,8,1,8,2,8,47,8,11,8,8,8,40,8,39,8,11,8
6,47,46,47,47,41,46,41,47,48,47,47,46,47,47,41,46,40,47,47,46
6,52,50,52,48,41,51,41,47,48,48,52,51,47,48,41,51,0,47,52,51
7,48,47,48,48,42,47,42,48,8,48,48,47,48,48,42,47,1,48,48,47
47,51,48,51,48,41,51,41,48,47,48,51,51,48,48,2,51,1,48,51,51
46,52,50,52,47,41,51,41,47,48,47,52,51,47,47,7,51,6,51,52,51
6,52,51,52,7,2,52,2,7,48,7,52,52,7,7,42,52,41,7,52,52
6,11,11,11,7,1,11,1,7,7,7,11,11,7,7,40,11,39,11,11,11
7,12,11,12,11,2,11,2,11,7,11,12,11,11,11,42,11,0,11,12,11
47,7,7,7,8,1,7,1,7,48,8,7,7,7,8,48,7,40,7,7,7
47,51,49,51,47,1,50,1,47,48,47,51,50,47,47,41,50,40,48,51,50
6,47,47,47,47,1,46,1,47,7,47,47,46,47,47,1,46,0,46,47,46
6,49,47,49,47,1,48,1,47,7,47,49,48,47,47,1,48,0,47,49,48
7,48,47,48,47,2,47,2,47,8,47,48,47,47,47,2,47,1,47,48,47
47,6,49,6,6,2,6,2,6,47,6,6,6,6,6,1,6,0,6,6,6
7,48,48,48,48,41,48,42,48,8,48,48,48,48,48,42,48,1,48,48,48
7,12,12,12,12,1,12,2,12,8,12,12,12,12,12,8,12,1,12,12,12
47,48,49,48,48,42,47,42,48,9,48,48,47,48,48,2,47,1,48,48,47
46,51,9,51,7,1,9,1,7,47,7,51,9,7,7,47,9,46,9,51,9
46,7,6,7,6,1,6,2,6,47,6,7,6,6,6,1,6,0,6,7,6
7,47,46,47,47,2,46,2,47,42,47,47,46,47,47,2,46,1,47,47,46
6,47,47,47,46,40,46,40,46,7,46,47,46,46,46,1,46,0,46,47,46
6,50,49,50,46,1,49,1,46,7,46,50,49,46,46,1,49,0,49,50,49
7,12,10,12,47,2,11,2,47,7,47,12,11,47,47,42,11,7,47,12,11
45,48,47,48,46,41,48,41,46,46,46,48,48,46,46,1,48,0,47,48,48
7,11,11,11,7,1,11,1,7,8,7,11,11,7,7,41,11,41,11,11,11
6,12,10,12,7,1,11,1,7,8,7,12,11,7,7,1,11,0,11,12,11
7,51,50,51,7,2,50,2,7,8,7,51,50,7,7,42,50,1,7,51,50
44,49,47,49,45,2,48,2,45,46,45,49,48,45,45,2,48,1,45,49,48
6,11,10,11,46,39,11,39,46,7,46,11,11,46,46,7,11,0,11,11,11
49,54,53,54,49,2,53,2,49,50,49,54,53,49,49,43,53,42,9,54,53
45,50,49,50,7,1,50,2,7,46,7,50,50,7,7,46,50,0,50,50,50
7,12,11,12,8,1,11,1,8,8,8,12,11,8,8,40,11,39,12,12,11
7,12,10,12,7,2,11,2,7,8,7,12,11,7,7,2,11,1,48,12,11
45,50,49,50,46,2,50,2,46,47,46,50,50,46,46,1,50,0,50,50,50
47,11,8,11,7,1,10,1,7,47,7,11,10,7,7,40,10,39,7,11,10
48,9,8,9,9,2,8,2,9,49,9,9,8,9,9,41,8,40,9,9,8
45,7,6,7,7,1,6,1,7,46,7,7,6,7,7,40,6,39,7,7,6
46,12,11,12,46,1,12,41,46,8,46,12,12,46,46,8,12,40,46,12,12
47,51,50,51,47,2,51,2,47,47,47,51,51,47,47,9,51,40,13,51,51
45,49,48,49,46,39,49,39,46,46,46,49,49,46,46,1,49,0,48,49,49
8,12,11,12,6,0,11,0,6,8,6,12,11,6,6,0,11,0,11,12,11
46,51,50,51,7,41,51,41,7,47,7,51,51,7,7,1,51,0,51,51,51
7,12,46,12,46,2,46,2,48,8,46,12,46,48,46,42,46,41,46,12,46
6,52,49,52,48,0,47,1,48,48,48,52,47,48,48,42,47,41,47,52,47
