0,1,2,3,4,5,6,7,8,9
62,31,14,53,23,57,53,49,42,43
68,54,15,38,22,57,14,50,27,27
26,52,14,53,23,57,13,10,70,44
23,14,15,15,63,18,14,10,43,44
27,68,55,15,23,57,15,51,43,4
26,53,14,53,23,57,53,49,42,43
27,14,54,53,25,20,53,50,42,43
62,20,15,52,23,17,20,47,31,31
66,14,14,53,63,58,14,10,42,43
70,51,52,39,22,17,50,10,25,59
26,32,14,53,23,57,53,49,42,43
26,67,14,53,22,57,53,49,42,43
25,54,14,55,23,58,13,10,66,4
22,54,15,55,63,58,54,51,68,5
67,54,55,55,22,57,17,51,45,4
37,54,15,54,23,57,54,50,44,4
65,53,14,53,23,56,53,49,43,44
66,14,54,53,63,16,53,50,42,43
66,27,54,53,62,57,54,11,42,4
65,52,14,53,23,56,13,49,28,43
62,68,15,54,22,17,55,50,40,40
27,68,54,53,23,57,54,50,43,43
22,53,14,54,62,17,13,10,39,4
36,51,14,52,21,16,53,48,27,24
62,14,14,52,21,16,13,49,24,5
70,68,15,15,23,18,14,49,27,60
66,54,55,30,17,57,14,51,45,46
69,14,15,15,63,18,60,12,43,44
67,50,15,37,22,17,20,33,26,58
68,68,15,54,23,18,14,11,43,4
42,53,14,54,62,57,12,10,24,4
30,53,54,53,61,56,52,50,44,5
62,14,15,53,21,17,54,11,28,5
70,68,14,53,21,16,53,49,43,5
62,68,14,51,60,17,13,65,40,41
62,54,15,54,59,17,54,51,42,4
70,52,14,53,22,17,13,50,29,44
34,54,14,54,62,17,13,10,40,40
62,53,14,54,23,40,13,50,70,44
30,14,15,54,62,57,53,50,41,6
67,53,53,39,22,55,52,35,27,59
62,67,14,52,59,17,55,49,41,42
68,55,56,55,65,59,55,11,44,4
63,70,53,52,61,56,13,10,44,24
36,67,14,52,23,18,53,49,42,43
62,51,15,52,59,18,14,48,26,43
63,52,53,52,22,17,20,48,44,43
63,68,14,53,21,57,53,49,43,44
64,54,15,54,24,58,54,50,44,4
63,69,53,53,22,56,52,49,42,43
62,67,54,53,23,18,14,50,43,43
41,53,16,35,24,57,20,17,26,6
38,51,52,52,22,17,51,48,43,43
35,52,14,53,22,17,13,49,70,4
26,53,54,53,63,17,13,9,42,43
38,68,15,70,22,17,55,65,40,41
67,27,55,54,63,17,13,10,42,43
62,68,14,53,21,57,53,50,42,43
26,68,14,53,22,57,53,49,40,40
67,14,55,38,22,17,54,51,29,46
62,51,52,52,60,17,12,9,43,43
63,54,15,55,23,17,55,50,28,25
61,47,14,54,21,16,54,49,26,24
27,33,14,54,23,18,14,51,43,43
66,67,14,52,23,57,53,48,42,4
37,21,53,52,23,18,52,65,42,4
69,51,53,38,24,18,21,17,29,43
69,53,15,53,22,57,53,49,27,25
61,14,15,39,23,18,21,41,28,27
27,14,55,54,63,57,13,10,45,46
70,54,15,15,22,18,14,50,28,28
63,14,54,15,22,57,52,10,41,42
62,68,14,53,22,56,53,10,42,4
67,54,55,54,63,57,13,50,44,45
68,14,15,15,64,18,14,11,44,5
22,14,55,54,62,17,53,10,66,66
26,68,14,54,22,17,13,51,44,45
62,48,15,70,60,17,52,11,24,24
35,14,15,15,22,18,54,50,26,6
60,51,14,36,23,54,13,53,26,4
35,53,14,36,22,17,53,10,26,5
