0,1,2,3,4,5,6,7,8,9
55,17,0,38,13,46,46,42,35,39
61,40,1,23,12,46,7,43,20,23
19,38,0,38,13,46,6,3,63,40
16,0,1,0,53,7,7,3,36,40
20,54,41,0,13,46,8,44,36,0
19,39,0,38,13,46,46,42,35,39
20,0,40,38,15,9,46,43,35,39
55,6,1,37,13,6,13,40,24,27
59,0,0,38,53,47,7,3,35,39
63,37,38,24,12,6,43,3,18,55
19,18,0,38,13,46,46,42,35,39
19,53,0,38,12,46,46,42,35,39
18,40,0,40,13,47,6,3,59,0
15,40,1,40,53,47,47,44,61,1
60,40,41,40,12,46,10,44,38,0
30,40,1,39,13,46,47,43,37,0
58,39,0,38,13,45,46,42,36,40
59,0,40,38,53,5,46,43,35,39
59,13,40,38,52,46,47,4,35,0
58,38,0,38,13,45,6,42,21,39
55,54,1,39,12,6,48,43,33,36
20,54,40,38,13,46,47,43,36,39
15,39,0,39,52,6,6,3,32,0
29,37,0,37,11,5,46,41,20,20
55,0,0,37,11,5,6,42,17,1
63,54,1,0,13,7,7,42,20,56
59,40,41,15,7,46,7,44,38,42
62,0,1,0,53,7,53,5,36,40
60,36,1,22,12,6,13,26,19,54
61,54,1,39,13,7,7,4,36,0
35,39,0,39,52,46,5,3,17,0
23,39,40,38,51,45,45,43,37,1
55,0,1,38,11,6,47,4,21,1
63,54,0,38,11,5,46,42,36,1
55,54,0,36,50,6,6,58,33,37
55,40,1,39,49,6,47,44,35,0
63,38,0,38,12,6,6,43,22,40
27,40,0,39,52,6,6,3,33,36
55,39,0,39,13,29,6,43,63,40
23,0,1,39,52,46,46,43,34,2
60,39,39,24,12,44,45,28,20,55
55,53,0,37,49,6,48,42,34,38
61,41,42,40,55,48,48,4,37,0
56,56,39,37,51,45,6,3,37,20
29,53,0,37,13,7,46,42,35,39
55,37,1,37,49,7,7,41,19,39
56,38,39,37,12,6,13,41,37,39
56,54,0,38,11,46,46,42,36,40
57,40,1,39,14,47,47,43,37,0
56,55,39,38,12,45,45,42,35,39
55,53,40,38,13,7,7,43,36,39
34,39,2,20,14,46,13,10,19,2
31,37,38,37,12,6,44,41,36,39
28,38,0,38,12,6,6,42,63,0
19,39,40,38,53,6,6,2,35,39
31,54,1,55,12,6,48,58,33,37
60,13,41,39,53,6,6,3,35,39
55,54,0,38,11,46,46,43,35,39
19,54,0,38,12,46,46,42,33,36
60,0,41,23,12,6,47,44,22,42
55,37,38,37,50,6,5,2,36,39
56,40,1,40,13,6,48,43,21,21
54,33,0,39,11,5,47,42,19,20
20,19,0,39,13,7,7,44,36,39
59,53,0,37,13,46,46,41,35,0
30,7,39,37,13,7,45,58,35,0
62,37,39,23,14,7,14,10,22,39
62,39,1,38,12,46,46,42,20,21
54,0,1,24,13,7,14,34,21,23
20,0,41,39,53,46,6,3,38,42
63,40,1,0,12,7,7,43,21,24
56,0,40,0,12,46,45,3,34,38
55,54,0,38,12,45,46,3,35,0
60,40,41,39,53,46,6,43,37,41
61,0,1,0,54,7,7,4,37,1
15,0,41,39,52,6,46,3,59,62
19,54,0,39,12,6,6,44,37,41
55,34,1,55,50,6,45,4,17,20
28,0,1,0,12,7,47,43,19,2
53,37,0,21,13,43,6,46,19,0
28,39,0,21,12,6,46,3,19,1
15,40,41,39,10,47,46,43,30,33
55,54,1,38,13,7,7,43,35,39
55,39,0,39,13,6,6,43,36,40
20,54,0,38,12,46,13,42,35,39
