0,1,2,3,4,5,6,7,8,9
0,0,62,0,57,41,132,0,132,60
0,0,62,0,58,42,132,0,132,61
1,1,65,1,57,43,133,1,133,130
0,0,63,1,56,43,132,0,132,61
0,0,63,0,57,43,132,0,132,130
0,0,64,0,57,43,133,0,133,131
0,0,63,0,57,43,132,0,132,130
1,1,65,1,57,43,134,1,133,131
0,0,63,0,57,43,132,0,132,130
0,0,64,1,57,43,132,0,132,131
0,1,64,1,56,43,132,0,132,129
0,1,64,1,57,43,134,1,133,131
0,0,64,1,56,43,132,0,132,130
1,1,143,1,139,43,134,1,135,140
0,0,65,1,114,43,132,0,133,130
0,0,63,1,57,43,132,0,131,61
0,0,63,1,57,43,132,0,132,130
0,0,136,1,131,43,134,0,135,134
0,1,65,1,56,43,132,0,132,129
1,1,64,1,57,43,132,1,132,130
0,0,57,0,55,41,133,0,132,56
0,0,64,1,114,43,132,0,133,130
0,0,63,0,57,43,133,0,133,130
0,0,62,0,57,43,132,0,131,61
0,0,63,1,57,43,132,0,132,129
0,0,63,1,57,43,133,0,133,61
0,1,64,1,57,43,133,0,133,131
0,0,63,0,58,43,133,0,133,131
0,0,63,1,57,43,132,0,132,129
0,0,62,0,57,42,131,0,131,60
0,0,64,1,56,43,132,0,132,128
0,0,63,0,57,43,132,0,132,130
0,1,64,1,57,43,132,0,132,130
0,0,62,0,57,42,132,0,131,61
0,0,63,1,56,43,132,0,131,61
0,0,65,1,131,43,134,0,135,133
0,1,64,1,57,43,132,0,132,129
0,0,63,0,57,43,132,0,132,61
0,0,62,0,57,43,132,0,132,61
0,0,64,1,56,43,132,0,132,130
0,1,90,1,85,43,132,1,133,131
0,0,65,1,116,43,133,0,134,131
1,1,65,1,56,43,132,1,132,130
1,1,138,1,132,43,134,1,135,136
1,1,136,1,130,43,133,1,135,132
0,0,63,0,57,43,132,0,132,129
0,1,64,1,57,43,132,0,131,61
1,1,135,1,129,43,133,1,134,132
1,1,141,1,136,43,134,1,135,139
0,1,65,1,58,43,134,0,134,131
0,0,64,1,56,43,132,0,132,130
0,1,64,1,57,43,133,0,132,130
0,0,63,1,57,43,132,0,132,130
0,0,62,0,58,40,132,0,132,60
0,0,63,0,57,43,132,0,132,130
0,0,62,0,57,40,132,0,131,60
0,0,64,1,115,43,133,0,134,131
0,0,63,0,57,43,132,0,132,61
1,1,139,1,134,43,134,1,135,138
1,1,213,1,131,43,134,1,135,133
0,0,213,1,117,43,133,1,134,131
0,0,213,1,117,43,133,0,134,130
0,0,63,1,57,43,133,0,132,130
0,0,63,1,57,43,133,0,132,130
0,0,64,1,57,43,133,0,133,130
0,1,63,1,57,43,132,0,133,130
0,0,63,1,57,43,132,0,131,61
1,1,89,1,84,43,132,1,132,129
0,0,63,0,57,43,132,0,132,130
0,0,63,1,58,43,133,0,133,131
1,1,139,1,134,43,134,1,135,137
0,1,65,1,57,43,132,0,132,130
0,0,65,1,83,43,133,0,133,131
0,1,212,1,117,43,133,1,134,131
1,1,64,1,57,43,133,1,132,130
1,1,141,1,137,43,134,1,135,139
0,0,63,0,57,43,132,0,131,61
0,0,63,0,57,43,132,0,131,61
0,0,64,1,57,43,133,0,133,131
0,1,65,1,56,43,132,0,132,129
1,1,141,1,136,43,134,1,135,139
1,1,138,1,133,43,134,1,135,137
0,0,62,1,56,42,132,0,131,61
1,1,65,1,131,43,134,1,135,133
0,0,62,0,57,43,132,0,131,61
0,0,64,1,84,43,132,0,132,129
0,0,64,1,56,43,133,0,133,131
1,1,132,1,114,43,133,1,133,130
0,0,64,1,114,43,132,0,132,130
0,0,64,1,58,43,133,0,134,131
0,0,63,0,57,43,133,0,132,61
1,1,138,1,132,43,134,1,135,136
0,0,65,1,131,43,134,0,135,133
1,1,64,1,56,43,132,1,132,130
0,0,62,0,56,43,133,0,133,61
0,0,63,0,57,43,132,0,132,61
0,1,64,1,58,43,134,0,133,131
0,0,136,1,131,43,134,0,135,134
0,0,62,0,57,41,132,0,131,60
0,0,63,0,57,43,132,0,132,131
0,0,212,0,115,43,133,0,133,130
0,1,65,1,113,43,132,1,132,130
0,1,63,1,56,43,132,0,133,61
0,0,64,1,57,43,133,0,133,130
0,0,65,1,130,43,133,0,134,132
0,0,65,1,116,43,133,0,134,131
0,0,63,0,57,43,132,0,132,130
0,1,64,1,57,43,132,0,131,61
0,0,62,1,56,43,131,0,131,61
0,0,63,0,57,43,132,0,132,130
1,1,138,1,133,43,134,1,135,137
0,0,63,1,57,43,132,0,132,131
0,0,64,0,57,43,133,0,134,131
0,0,62,0,57,42,132,0,131,61
0,0,62,0,56,43,133,0,134,131
0,0,62,0,57,43,132,0,132,130
0,0,62,0,57,40,132,0,131,60
0,0,62,0,57,43,132,0,131,61
0,0,66,1,115,43,134,0,135,131
1,1,65,1,57,43,133,1,133,130
0,0,63,0,57,43,132,0,132,61
0,0,64,1,57,43,132,0,132,130
0,0,63,0,57,43,132,0,132,61
1,1,64,1,56,43,132,1,131,62
0,0,64,0,56,43,132,0,133,130
0,0,63,0,57,43,132,0,131,61
0,0,62,0,58,41,132,0,132,60
0,1,64,1,56,43,134,0,135,132
0,0,65,0,115,43,132,0,133,130
0,0,63,0,57,43,132,0,132,130
0,0,63,0,57,43,132,0,132,61
1,1,64,1,57,43,133,1,133,130
1,1,65,1,59,43,134,1,135,133
0,0,63,0,57,43,132,0,132,118
0,1,63,1,56,43,132,0,132,61
0,0,64,1,58,43,133,0,133,131
1,1,65,1,117,43,133,1,134,131
0,0,63,0,57,43,132,0,132,61
