0,1,2,3,4,5,6,7,8,9
8,19,12,14,6,12,10,139,10,12
6,131,123,130,5,10,121,140,122,125
6,46,41,44,37,10,40,139,9,12
5,44,120,131,113,10,117,139,125,129
7,56,40,49,5,11,10,139,9,44
5,42,40,42,36,10,38,139,38,41
5,42,40,41,36,10,39,139,9,41
5,50,49,18,47,10,45,139,9,12
137,18,138,18,132,140,137,140,136,139
137,17,139,13,133,140,138,139,138,140
6,131,130,131,5,10,10,139,9,131
6,45,43,45,5,10,10,139,9,12
6,42,41,17,137,10,140,139,9,12
5,44,39,43,33,10,37,139,9,39
6,20,29,17,138,10,140,139,9,12
6,43,39,42,5,10,38,139,9,41
6,44,39,44,5,11,10,139,9,12
139,46,140,11,137,9,140,139,140,140
138,13,12,14,135,12,139,139,139,12
136,14,12,14,133,140,138,139,137,139
7,132,40,49,5,12,10,139,9,44
6,46,39,42,37,10,38,139,9,39
139,108,12,75,5,14,10,139,139,12
7,47,39,45,5,11,10,139,9,12
139,12,12,12,136,11,140,139,139,12
8,23,140,21,135,14,139,139,138,140
100,121,98,119,93,111,97,139,97,100
6,43,41,43,36,10,39,139,9,12
5,40,39,42,37,9,38,139,9,40
5,18,139,15,134,10,138,139,138,140
6,42,37,41,36,10,36,139,9,12
7,81,61,69,5,12,10,139,9,12
6,41,39,18,140,10,10,139,9,12
7,22,23,19,5,12,10,139,9,12
139,14,12,14,135,13,140,140,139,140
135,15,138,12,132,139,137,139,136,138
136,113,15,113,9,140,13,139,136,16
6,41,38,42,35,11,10,139,9,12
140,11,138,12,133,140,137,140,137,140
7,53,41,49,5,11,10,139,9,43
6,42,39,42,5,10,37,139,9,12
139,16,140,16,134,140,138,140,139,140
7,106,54,86,5,11,10,139,9,64
6,45,39,43,37,10,38,139,9,41
6,50,39,45,37,10,37,139,9,40
136,19,138,18,5,12,137,139,137,139
6,59,39,47,27,11,10,139,9,39
8,58,38,51,5,12,10,139,9,12
139,16,140,16,134,140,139,140,139,140
5,43,39,43,36,9,38,139,38,41
5,41,39,16,140,9,36,139,9,12
135,13,12,13,132,138,136,139,136,138
8,52,41,48,6,12,10,139,9,12
5,43,40,43,36,10,39,139,38,41
5,41,39,42,34,10,37,139,9,12
6,42,40,42,5,10,10,139,9,12
136,13,138,13,133,140,137,139,137,139
6,43,22,18,16,10,20,139,9,12
6,74,12,77,5,11,10,139,9,12
