0,1,2,3,4,5,6,7,8,9
645,637,611,646,647,647,600,653,642,636
585,577,551,586,587,587,540,593,582,576
525,517,491,526,527,527,480,533,522,516
465,457,431,466,467,467,420,473,462,456
405,397,371,406,407,407,360,413,402,396
345,337,311,346,347,347,300,353,342,336
122,121,175,122,162,198,117,187,121,119
62,61,115,62,102,138,57,127,61,59
42,213,55,42,42,78,42,67,42,218
154,153,162,154,89,89,19,86,158,158
94,93,102,94,36,36,95,31,98,98
610,604,575,610,612,612,568,534,478,571
550,544,515,550,552,552,508,474,418,511
490,484,455,490,896,896,448,896,358,451
430,424,395,430,836,836,388,836,298,391
26,17,19,26,36,36,7,31,26,12
67,57,64,67,71,71,6,71,61,57
146,16,146,146,153,153,6,152,143,11
86,80,86,86,93,93,74,92,83,79
26,20,26,26,36,36,14,32,23,19
658,647,660,658,658,658,649,667,657,650
598,587,600,598,598,598,589,607,597,590
538,527,540,538,538,538,529,547,537,530
478,467,480,478,478,478,469,487,477,470
418,407,420,418,418,418,409,427,417,410
299,291,163,299,295,295,154,306,291,57
239,231,103,239,235,235,94,246,231,247
858,849,873,858,856,858,34,869,171,187
798,789,813,798,796,798,126,809,111,127
738,729,753,738,736,738,66,749,51,67
678,669,693,678,676,678,6,689,677,77
57,52,19,57,56,56,10,31,55,11
52,182,184,52,54,54,176,49,183,181
660,492,483,660,849,501,477,496,568,552
600,432,423,600,789,441,417,436,508,492
540,372,363,540,729,381,357,376,448,432
480,312,873,480,669,321,297,316,388,847
871,687,487,871,691,691,479,635,611,581
811,627,427,811,631,631,419,575,551,521
751,567,367,751,571,571,359,515,491,461
691,507,307,691,511,511,299,455,431,401
631,447,247,631,451,451,239,395,371,341
464,464,463,464,468,468,458,464,464,463
404,404,403,404,408,408,398,404,404,403
344,344,343,344,348,348,338,344,344,343
284,284,283,284,288,288,278,284,284,283
224,224,223,224,228,228,218,224,224,223
329,321,789,329,329,329,446,363,406,448
269,261,729,269,269,269,386,303,346,388
209,201,669,209,209,209,326,243,286,328
149,141,609,149,149,149,266,183,226,268
130,122,127,130,136,136,114,137,123,117
70,62,67,70,76,76,54,77,63,57
25,16,19,25,36,36,7,32,19,11
679,683,673,679,690,690,660,685,671,665
226,181,265,226,191,191,261,253,91,185
166,121,205,166,131,131,201,193,31,125
106,61,145,106,71,71,141,133,82,65
46,34,85,46,46,46,81,73,22,235
