0,1,2,3,4,5,6,7,8,9
620,621,592,621,611,611,594,622,623,625
560,561,532,561,551,551,534,562,563,565
500,501,472,501,491,491,474,502,503,505
440,441,412,441,431,431,414,442,443,445
380,381,352,381,371,371,354,382,383,385
320,321,292,321,311,311,294,322,323,325
97,105,156,97,126,162,111,156,102,108
37,45,96,37,66,102,51,96,42,48
17,197,36,17,6,42,36,36,23,207
129,137,143,129,53,53,13,55,139,147
69,77,83,69,0,0,89,0,79,87
585,588,556,585,576,576,562,503,459,560
525,528,496,525,516,516,502,443,399,500
465,468,436,465,860,860,442,865,339,440
405,408,376,405,800,800,382,805,279,380
1,1,0,1,0,0,1,0,7,1
42,41,45,42,35,35,0,40,42,46
121,0,127,121,117,117,0,121,124,0
61,64,67,61,57,57,68,61,64,68
1,4,7,1,0,0,8,1,4,8
633,631,641,633,622,622,643,636,638,639
573,571,581,573,562,562,583,576,578,579
513,511,521,513,502,502,523,516,518,519
453,451,461,453,442,442,463,456,458,459
393,391,401,393,382,382,403,396,398,399
274,275,144,274,259,259,148,275,272,46
214,215,84,214,199,199,88,215,212,236
833,833,854,833,820,822,28,838,152,176
773,773,794,773,760,762,120,778,92,116
713,713,734,713,700,702,60,718,32,56
653,653,674,653,640,642,0,658,658,66
32,36,0,32,20,20,4,0,36,0
27,166,165,27,18,18,170,18,164,170
635,476,464,635,813,465,471,465,549,541
575,416,404,575,753,405,411,405,489,481
515,356,344,515,693,345,351,345,429,421
455,296,854,455,633,285,291,285,369,836
846,671,468,846,655,655,473,604,592,570
786,611,408,786,595,595,413,544,532,510
726,551,348,726,535,535,353,484,472,450
666,491,288,666,475,475,293,424,412,390
606,431,228,606,415,415,233,364,352,330
439,448,444,439,432,432,452,433,445,452
379,388,384,379,372,372,392,373,385,392
319,328,324,319,312,312,332,313,325,332
259,268,264,259,252,252,272,253,265,272
199,208,204,199,192,192,212,193,205,212
304,305,770,304,293,293,440,332,387,437
244,245,710,244,233,233,380,272,327,377
184,185,650,184,173,173,320,212,267,317
124,125,590,124,113,113,260,152,207,257
105,106,108,105,100,100,108,106,104,106
45,46,48,45,40,40,48,46,44,46
0,0,0,0,0,0,1,1,0,0
654,667,654,654,654,654,654,654,652,654
201,165,246,201,155,155,255,222,72,174
141,105,186,141,95,95,195,162,12,114
81,45,126,81,35,35,135,102,63,54
21,18,66,21,10,10,75,42,3,224
171,171,6,171,160,160,15,313,1,164
112,112,106,112,106,106,110,106,112,106
52,52,46,52,46,46,50,46,52,46
0,0,0,0,0,0,0,0,0,0
1,10,8,1,0,0,13,0,1,16
7,15,13,7,15,15,15,20,12,15
783,564,840,783,550,550,454,574,418,889
723,504,780,723,490,490,394,514,358,829
663,444,720,663,430,430,334,454,298,769
603,384,660,603,370,370,274,394,238,709
543,324,600,543,310,310,214,334,178,649
794,796,260,794,296,296,304,301,37,300
734,736,200,734,236,236,244,241,234,240
674,676,140,674,176,176,184,181,174,180
614,616,80,614,116,116,124,121,114,120
554,556,20,554,56,56,64,61,54,60
494,496,0,494,0,0,4,1,501,0
476,757,460,476,465,465,292,561,357,382
416,697,400,416,405,405,232,501,297,322
356,637,340,356,345,345,172,441,237,262
296,577,280,296,285,285,112,381,177,202
236,517,220,236,225,225,52,321,117,848
218,41,367,218,24,24,297,212,500,292
158,438,307,158,236,236,237,152,440,232
98,378,247,98,176,176,177,92,380,172
38,318,187,38,116,116,117,32,320,112
254,258,127,10,56,56,57,2,260,52
764,765,752,764,754,754,761,602,650,759
704,705,692,704,694,694,701,542,590,699
644,645,632,644,634,634,641,482,530,639
584,585,572,584,574,574,581,422,470,579
524,525,512,524,514,514,521,362,410,519
464,465,452,464,454,454,461,302,350,459
259,264,371,374,364,364,272,198,265,370
199,204,311,314,304,304,212,138,205,310
139,144,251,254,244,244,152,78,145,250
79,84,191,194,184,184,92,18,85,190
19,24,131,134,124,124,32,130,25,130
74,83,71,74,64,64,76,70,69,70
120,123,125,120,170,170,130,176,121,128
60,63,65,60,110,110,70,116,61,68
0,3,5,0,50,50,10,56,1,8
1,10,12,1,0,0,19,0,9,16
432,392,393,432,696,696,398,427,392,396
22,27,86,22,22,22,31,54,35,91
2,2,26,2,0,0,34,0,3,31
855,863,871,855,844,844,874,849,867,872
795,803,811,795,784,784,814,789,807,812
735,743,751,735,724,724,754,729,747,752
