0,1,2,3,4,5,6,7,8,9
288,127,681,157,716,798,27,291,72,654
228,67,621,97,656,738,2,231,12,594
168,7,561,37,596,678,52,171,47,534
108,26,501,122,536,618,0,111,32,474
48,96,441,62,476,558,9,51,84,414
513,36,381,2,416,498,11,399,24,354
321,162,578,161,650,650,37,832,162,868
261,102,518,101,590,590,0,772,102,808
201,42,458,41,530,530,34,712,42,748
141,233,398,6,470,470,0,652,1,688
847,173,338,191,410,410,192,850,210,628
787,113,278,131,822,350,132,844,150,864
802,533,855,538,306,406,1,4,541,400
742,473,795,478,246,346,620,117,481,340
682,413,735,418,186,286,560,57,421,843
622,353,675,358,126,226,500,625,361,783
562,293,615,298,66,816,440,565,301,723
502,233,555,238,6,847,380,505,241,663
570,571,576,817,573,636,26,742,688,627
510,511,516,757,513,576,3,682,628,567
450,451,456,697,453,516,58,859,857,507
390,391,396,637,393,456,0,799,797,447
330,331,336,577,333,396,0,739,737,387
270,271,276,517,273,336,22,679,677,327
662,138,633,106,791,591,65,813,99,583
602,78,573,46,731,531,5,753,39,523
542,18,513,36,671,471,38,693,39,463
482,27,453,15,611,411,33,633,33,403
422,90,393,95,551,351,108,573,109,343
362,30,333,35,491,291,48,513,49,283
262,439,662,275,507,327,120,318,137,594
202,379,602,215,447,267,60,258,77,534
142,319,542,155,387,207,0,198,17,474
82,259,482,95,327,833,0,138,326,414
22,199,422,35,267,773,2,78,266,876
869,139,362,86,207,713,108,18,206,816
854,244,645,280,766,841,462,640,365,636
794,184,585,220,706,781,402,580,305,576
734,124,525,160,646,721,342,520,245,516
674,64,465,100,586,661,282,460,185,456
614,4,405,40,526,601,222,400,125,396
554,679,345,208,466,853,162,340,65,336
854,523,865,392,806,514,85,2,402,503
794,463,805,332,822,454,25,487,342,443
842,403,745,272,762,394,25,427,282,383
840,343,685,212,702,334,17,367,222,323
780,283,625,152,642,274,58,307,162,856
720,831,565,829,582,214,59,247,102,796
844,567,615,340,828,137,151,154,471,838
