0,1,2,3,4,5,6,7,8,9
646,637,611,645,647,647,600,653,641,636
586,577,551,585,587,587,540,593,581,576
526,517,491,525,527,527,480,533,521,516
466,457,431,465,467,467,420,473,461,456
406,397,371,405,407,407,360,413,401,396
346,337,311,345,347,347,300,353,341,336
162,121,175,162,199,199,117,187,121,338
102,61,115,102,139,139,57,127,61,278
42,213,55,42,79,79,215,67,42,218
154,153,162,154,89,89,155,88,158,158
94,93,102,94,43,43,95,31,98,98
610,605,575,608,609,612,568,533,477,571
550,545,515,548,549,552,508,473,417,511
490,485,455,488,895,896,448,896,357,451
430,425,395,428,835,836,388,836,297,391
26,17,19,26,36,36,7,31,26,26
67,57,64,67,71,71,6,71,61,57
146,16,146,146,153,153,6,152,143,11
86,80,86,86,93,93,74,92,83,79
26,20,26,26,36,36,14,32,23,19
658,647,660,658,658,658,649,667,657,650
598,587,600,598,598,598,589,607,597,590
538,527,540,538,538,538,529,547,537,530
478,467,480,478,478,478,469,487,477,470
418,407,420,418,418,418,409,427,417,410
299,291,163,299,860,860,297,306,291,57
239,231,103,239,800,800,237,246,231,80
858,850,873,856,856,858,870,869,171,20
798,790,813,796,796,798,810,809,111,127
738,730,753,736,736,738,750,749,51,67
678,670,693,676,676,678,690,689,675,77
57,52,19,57,57,57,10,31,55,11
52,182,184,52,54,54,176,49,183,181
660,839,578,659,848,501,573,496,568,552
600,779,518,599,788,441,513,436,508,492
540,719,458,539,728,381,453,376,448,432
480,659,398,479,668,321,393,316,388,873
871,531,488,869,692,691,478,635,611,581
811,471,428,809,632,631,418,575,551,521
751,411,368,749,572,571,358,515,491,461
691,351,308,689,512,511,298,455,431,401
631,291,248,629,452,451,238,395,371,341
464,464,463,464,467,467,458,464,464,463
404,404,403,404,407,407,398,404,404,403
344,344,343,344,347,347,338,344,344,343
284,284,283,284,287,287,278,284,284,283
224,224,223,224,227,227,218,224,224,223
329,322,790,325,329,329,682,363,406,232
269,262,730,265,269,269,622,303,346,172
209,202,670,205,209,209,562,243,286,112
149,142,610,145,149,149,502,183,226,52
131,122,127,131,136,136,114,137,123,117
71,62,67,71,76,76,54,77,63,57
25,16,19,25,36,36,7,32,19,11
679,683,673,679,690,690,660,685,672,665
226,181,95,182,191,226,262,253,91,185
166,121,35,122,131,166,202,193,31,125
106,61,146,62,71,106,142,133,82,65
46,34,86,43,46,46,82,73,22,235
196,187,26,196,196,332,22,344,20,175
137,128,125,137,142,142,116,137,131,117
77,68,65,77,82,82,56,77,71,57
25,16,19,25,36,36,6,31,19,11
26,26,27,26,36,36,19,31,20,27
32,31,32,32,51,51,21,51,31,26
808,432,859,806,586,586,885,605,437,900
748,372,799,746,526,526,825,545,377,840
688,312,739,686,466,466,765,485,317,780
628,252,679,626,406,406,705,425,257,720
