0,1,2,3,4,5,6,7,8,9
645,636,611,645,647,647,600,653,641,636
585,576,551,585,587,587,540,593,581,576
525,516,491,525,527,527,480,533,521,516
465,456,431,465,467,467,420,473,461,456
405,396,371,405,407,407,360,413,401,396
345,336,311,345,347,347,300,353,341,336
122,121,175,162,199,199,117,187,121,338
62,61,115,102,139,139,57,127,61,278
42,213,55,42,79,79,42,67,42,218
154,153,162,154,89,89,19,86,158,158
94,93,102,94,43,43,95,31,98,98
609,604,575,608,608,609,568,534,477,571
549,544,515,548,548,549,508,474,417,511
489,484,455,488,896,895,448,896,357,451
429,424,395,428,836,835,388,836,297,391
26,26,19,26,36,36,7,31,26,26
67,57,64,67,71,71,6,71,61,57
146,16,146,146,153,153,6,152,143,11
86,80,86,86,93,93,74,92,83,79
26,20,26,26,36,36,14,32,23,19
658,647,660,658,658,658,649,667,657,650
598,587,600,598,598,598,589,607,597,590
538,527,540,538,538,538,529,547,537,530
478,467,480,478,478,478,469,487,477,470
418,407,420,418,418,418,409,427,417,410
299,290,163,299,860,860,154,856,291,57
239,230,103,239,800,800,94,796,231,80
858,849,873,856,856,856,34,869,171,20
798,789,813,796,796,796,126,809,111,127
738,729,753,736,736,736,66,749,51,67
678,669,693,676,676,676,6,689,675,77
57,52,19,57,57,57,10,31,55,11
52,182,184,52,54,54,176,49,183,181
660,839,578,660,848,848,477,496,568,552
600,779,518,600,788,788,417,436,508,492
540,719,458,540,728,728,357,376,448,432
480,659,398,480,668,668,297,316,388,873
871,530,487,870,692,691,588,635,611,581
811,470,427,810,632,631,528,575,551,521
751,410,367,750,572,571,468,515,491,461
691,350,307,690,512,511,408,455,431,401
631,290,247,630,452,451,348,395,371,341
464,464,463,464,467,467,458,464,464,463
404,404,403,404,407,407,398,404,404,403
344,344,343,344,347,347,338,344,344,343
284,284,283,284,287,287,278,284,284,283
224,224,223,224,227,227,218,224,224,223
329,322,789,326,329,329,446,363,406,384
269,262,729,266,269,269,386,303,346,324
209,202,669,206,209,209,326,243,286,264
149,142,609,146,149,149,266,183,226,204
130,122,127,131,136,136,114,137,123,117
70,62,67,71,76,76,54,77,63,57
25,16,19,25,36,36,7,32,19,11
679,683,673,679,690,690,660,685,672,665
226,181,95,182,191,191,261,253,91,185
166,121,35,122,131,131,201,193,31,125
106,61,145,62,71,71,141,133,82,65
46,34,85,43,46,46,81,73,22,84
195,187,25,196,196,196,21,344,289,24
137,128,125,137,142,142,116,137,131,117
77,68,65,77,82,82,56,77,71,57
25,16,19,25,36,36,6,31,19,11
26,26,27,26,36,36,19,31,20,27
32,31,32,32,51,51,21,51,31,26
806,432,859,806,586,586,460,551,437,887
746,372,799,746,526,526,400,491,377,827
686,312,739,686,466,466,340,431,317,767
626,252,679,626,406,406,280,371,257,707
566,192,619,566,346,346,220,311,197,647
819,812,279,325,331,331,310,332,313,311
759,752,219,265,271,271,250,272,253,251
699,692,159,205,211,211,190,212,193,191
639,632,99,145,151,151,130,152,133,131
579,572,39,85,91,91,70,92,73,71
519,512,19,25,36,36,10,32,512,11
501,852,479,501,501,501,298,592,376,393
441,792,419,441,441,441,238,532,316,333
381,732,359,381,381,381,178,472,256,273
321,672,299,321,321,321,118,412,196,213
261,612,239,261,261,261,58,352,136,153
60,57,527,375,59,332,289,243,516,522
459,452,467,315,272,272,229,183,456,462
399,392,407,255,212,212,169,123,396,402
339,332,347,195,152,152,109,63,336,342
279,272,287,135,92,92,49,33,276,282
788,781,770,785,790,790,767,633,668,770
728,721,710,725,730,730,707,573,608,710
668,661,650,665,670,670,647,513,548,650
608,601,590,605,610,610,587,453,488,590
548,541,530,545,550,550,527,393,428,530
488,481,470,485,490,490,467,333,368,470
399,280,390,399,400,400,278,229,284,381
339,220,330,339,340,340,218,169,224,321
279,160,270,279,280,280,158,109,164,261
219,100,210,219,220,220,98,49,104,201
159,40,150,159,160,160,38,161,44,141
99,99,90,99,100,100,80,101,88,81
145,138,145,145,206,206,136,207,140,139
85,78,85,85,146,146,76,147,80,79
25,18,25,25,86,86,16,87,20,19
26,26,35,26,36,36,25,31,28,27
457,408,412,457,732,732,404,458,411,407
47,44,105,47,57,58,37,85,39,102
27,18,45,27,36,36,40,31,22,42
880,879,890,880,880,880,880,880,886,883
820,819,830,820,820,820,820,820,826,823
760,759,770,760,760,760,760,760,766,763
785,776,313,531,333,333,765,784,552,310
725,716,253,471,273,273,705,724,492,250
188,267,94,188,188,188,159,713,185,179
128,207,34,128,128,128,99,863,125,119
68,147,46,68,68,68,39,803,65,59
620,87,365,620,97,745,249,743,617,568
560,27,305,560,37,685,189,683,557,508
26,17,33,26,36,36,7,32,20,12
541,532,535,541,550,550,522,548,534,527
481,472,475,481,490,490,462,488,474,467
421,412,415,421,430,430,402,428,414,407
361,352,355,361,370,370,342,368,354,347
900,897,899,900,352,352,898,900,897,892
862,855,867,862,861,861,854,861,859,857
802,795,807,802,801,801,794,801,799,797
742,735,747,742,741,741,734,741,739,737
682,675,687,682,681,681,674,681,679,677
725,719,550,566,573,577,548,725,515,558
665,659,490,506,513,517,488,665,455,498
605,599,430,446,453,457,428,605,395,438
545,539,370,386,393,397,368,545,335,378
485,479,310,326,333,337,308,485,275,318
239,231,184,239,241,241,268,132,109,216
179,171,124,179,181,181,208,72,49,156
119,111,64,119,121,121,148,52,115,96
59,51,40,59,61,61,88,57,55,36
68,60,72,68,69,69,28,31,69,63
93,84,87,93,104,104,74,98,87,79
263,259,231,263,274,274,220,243,256,225
602,594,595,602,612,612,109,605,596,111
542,534,535,542,552,552,49,545,536,51
482,474,475,482,492,492,229,485,476,469
422,414,415,422,432,432,169,425,416,409
362,354,355,362,372,372,109,365,356,349
302,294,295,302,312,312,49,305,296,289
29,20,21,29,39,38,9,32,24,15
48,41,45,48,62,62,33,57,42,38
181,172,175,181,184,184,162,183,175,167
121,112,115,121,124,124,102,123,115,107
61,52,55,61,64,64,42,63,55,47
793,777,759,793,791,791,49,881,864,764
733,717,699,733,731,731,695,821,804,704
673,657,639,673,671,671,635,761,744,644
613,597,579,613,611,611,575,701,684,584
553,537,519,553,551,551,515,641,624,524
539,531,871,325,327,327,484,795,534,292
203,196,205,204,203,203,154,201,203,199
143,852,858,144,143,143,852,141,854,853
83,792,798,84,83,83,792,81,794,793
547,542,548,547,549,549,542,549,545,543
487,482,488,487,489,489,482,489,485,483
427,422,428,427,429,429,422,429,425,423
367,362,368,367,369,369,362,369,365,363
307,302,308,307,309,309,302,309,305,303
824,816,818,824,835,835,758,830,818,763
764,756,758,764,775,775,698,770,758,703
877,696,871,877,888,888,638,883,871,643
872,863,860,872,883,883,853,877,866,859
240,239,27,240,281,281,176,196,180,283
180,179,139,180,221,221,116,136,120,223
120,119,79,120,161,161,56,76,60,163
60,59,19,60,101,101,101,100,254,103
41,17,198,41,41,41,41,40,194,43
92,92,138,92,92,92,84,151,134,87
