0,1,2,3,4,5,6,7,8,9
620,620,592,620,611,611,594,622,622,625
560,560,532,560,551,551,534,562,562,565
500,500,472,500,491,491,474,502,502,505
440,440,412,440,431,431,414,442,442,445
380,380,352,380,371,371,354,382,382,385
320,320,292,320,311,311,294,322,322,325
97,105,156,137,163,163,111,156,102,327
37,45,96,77,103,103,51,96,42,267
17,197,36,17,43,43,36,36,23,207
129,137,143,129,53,53,13,55,139,147
69,77,83,69,7,7,89,0,79,87
584,588,556,583,572,573,562,503,458,560
524,528,496,523,512,513,502,443,398,500
464,468,436,463,860,859,442,865,338,440
404,408,376,403,800,799,382,805,278,380
1,10,0,1,0,0,1,0,7,15
42,41,45,42,35,35,0,40,42,46
121,0,127,121,117,117,0,121,124,0
61,64,67,61,57,57,68,61,64,68
1,4,7,1,0,0,8,1,4,8
633,631,641,633,622,622,643,636,638,639
573,571,581,573,562,562,583,576,578,579
513,511,521,513,502,502,523,516,518,519
453,451,461,453,442,442,463,456,458,459
393,391,401,393,382,382,403,396,398,399
274,274,144,274,824,824,148,825,272,46
214,214,84,214,764,764,88,765,212,69
833,833,854,831,820,820,28,838,152,9
773,773,794,771,760,760,120,778,92,116
713,713,734,711,700,700,60,718,32,56
653,653,674,651,640,640,0,658,656,66
32,36,0,32,21,21,4,0,36,0
27,166,165,27,18,18,170,18,164,170
635,823,559,635,812,812,471,465,549,541
575,763,499,575,752,752,411,405,489,481
515,703,439,515,692,692,351,345,429,421
455,643,379,455,632,632,291,285,369,862
846,514,468,845,656,655,582,604,592,570
786,454,408,785,596,595,522,544,532,510
726,394,348,725,536,535,462,484,472,450
666,334,288,665,476,475,402,424,412,390
606,274,228,605,416,415,342,364,352,330
439,448,444,439,431,431,452,433,445,452
379,388,384,379,371,371,392,373,385,392
319,328,324,319,311,311,332,313,325,332
259,268,264,259,251,251,272,253,265,272
199,208,204,199,191,191,212,193,205,212
304,306,770,301,293,293,440,332,387,373
244,246,710,241,233,233,380,272,327,313
184,186,650,181,173,173,320,212,267,253
124,126,590,121,113,113,260,152,207,193
105,106,108,106,100,100,108,106,104,106
45,46,48,46,40,40,48,46,44,46
0,0,0,0,0,0,1,1,0,0
654,667,654,654,654,654,654,654,653,654
201,165,76,157,155,155,255,222,72,174
141,105,16,97,95,95,195,162,12,114
81,45,126,37,35,35,135,102,63,54
21,18,66,18,10,10,75,42,3,73
170,171,6,171,160,160,15,313,270,13
112,112,106,112,106,106,110,106,112,106
52,52,46,52,46,46,50,46,52,46
0,0,0,0,0,0,0,0,0,0
1,10,8,1,0,0,13,0,1,16
7,15,13,7,15,15,15,20,12,15
781,416,840,781,550,550,454,520,418,876
721,356,780,721,490,490,394,460,358,816
661,296,720,661,430,430,334,400,298,756
601,236,660,601,370,370,274,340,238,696
541,176,600,541,310,310,214,280,178,636
794,796,260,300,295,295,304,301,294,300
734,736,200,240,235,235,244,241,234,240
674,676,140,180,175,175,184,181,174,180
614,616,80,120,115,115,124,121,114,120
554,556,20,60,55,55,64,61,54,60
494,496,0,0,0,0,4,1,493,0
476,836,460,476,465,465,292,561,357,382
416,776,400,416,405,405,232,501,297,322
